id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
alameda-ca-overture-ce719a88,Family Emergency Shelter,shelter,"22671 3rd St, Hayward",37.67538833618164,-122.07705688476562,15105813223,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: fescofamilyshelter.org
alameda-ca-overture-78143872,Eden I&R /211 Alameda County,shelter,"570 B St, Hayward",37.669921875,-122.08985900878906,+15105372710,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.edenir.org/
alameda-ca-overture-98368fe6,Alameda Food Bank,meal,"677 W Ranger Ave, Alameda",37.78474807739258,-122.29927062988281,+15105235850,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.alamedafoodbank.org/
alameda-ca-overture-b0a81d59,Food Shift,meal,"45 W Midway Ave, Alameda",37.786155700683594,-122.30755615234375,+15108987812,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://secure.acceptiva.com/?cst=37a27a
alameda-ca-overture-2d00bada,Bacs Henry Robinson Hotel (hrc),shelter,"559 16th St, Oakland",37.80657196044922,-122.27313232421875,15102385091,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://bayareacs.org
alameda-ca-overture-93b422a1,Davis Street Basic Needs Department,meal,"3081 Teagarden St, San Leandro",37.7049674987793,-122.1536636352539,5103474620,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.davisstreet.org/
alameda-ca-overture-75c975b9,Salaam Food Pantry,meal,"4080 Bay St, Fremont",37.53270721435547,-121.96104431152344,+15105197250,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://salaamfoodpantry.org/
alameda-ca-overture-82a1efbd,Semah,meal,"1744 Corte de Orinda, Fremont",37.52867126464844,-121.93660736083984,+15106598535,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://semah.org
alameda-ca-overture-e7766d96,Abode Services Sunrise Village Emergency Shelter,shelter,"588 Brown Rd, Fremont",37.49455261230469,-121.92800903320312,+15102520910,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sunrisevillage.com
alameda-ca-overture-0d488c48,Sister Thea Bowman Manor,shelter,"6400 San Pablo Ave, Oakland",37.847206115722656,-122.284912109375,+15104208802,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cchnc.org
alameda-ca-overture-46c5cbc8,Satellite Senior Homes,shelter,"1521 University Ave, Berkeley",37.87062072753906,-122.2813720703125,+15106470700,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.satellitehousing.org/
alameda-ca-overture-0aa62197,Tri-City Volunteers,meal,"37350 Joseph St, Fremont",37.555904388427734,-122.0078125,+15107934583,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.tcvfoodbank.org/
alameda-ca-overture-4a54b62e,Children's Emergency Council,meal,"7421 Amarillo Rd, Dublin",37.70513916015625,-121.94222259521484,19258285363,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.childrensemergencyfoodbank.org
alameda-ca-overture-26ae0457,Dwight Way Shelter,shelter,"2140 Dwight Way #2015, Berkeley",37.86403274536133,-122.26619720458984,+15106494965,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
alameda-ca-overture-6fff9fc7,Alameda County Community Food Bank,meal,"7900 Edgewater Dr, Oakland",37.741188049316406,-122.20160675048828,+15106353663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://bsky.app/profile/accfb.bsky.social
