id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
albany-ny-overture-d32fd5ef,Marillac,shelter,"195 Washington Ave Ext, Albany",42.70065689086914,-73.8499755859375,+15188691960,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.marillac.org/
albany-ny-overture-f6ae2784,Hospitality House TC,shelter,"271 Central Ave, Albany",42.66362762451172,-73.7709732055664,+15184346468,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://hospitalityhousetc.org/
albany-ny-overture-51d53306,Capital City Rescue Mission,shelter,"259 S Pearl St, Albany",42.64277267456055,-73.75743865966797,+15184620459,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://capitalcityrescuemission.org/
albany-ny-overture-6a0b20c8,Feeding New York State,meal,"33 Elk St #300, Albany",42.653839111328125,-73.75553131103516,+15189307000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://feedingnys.org/
albany-ny-overture-01e4b0a2,St Louise House,shelter,"96 Menand Rd, Menands",42.69527816772461,-73.73542022705078,+15184621811,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://saintlouisehouse.org
albany-ny-overture-53242997,Helping Harvest,meal,"2480 US-9W, Ravena",42.46693801879883,-73.81443786621094,+15187569091,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/HelpingHarvestRavena
albany-ny-overture-ced3549f,Albany Housing Authority Project Management Ofc,shelter,"680 Central Ave, Albany",42.67454147338867,-73.7845230102539,+15184589257,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
albany-ny-overture-9f84da70,Saint John's/st.ann's - Food Distribution Center,meal,"88 4th Ave, Albany",42.638710021972656,-73.75762176513672,15184729091,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: sjsacenter.org
albany-ny-overture-59be7199,Interfaith Partnership For The Homeless (iph),shelter,"176 Sheridan Ave, Albany",42.656551361083984,-73.75775146484375,15184348021,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: iphny.org
albany-ny-overture-443acdf5,Regional Food Bank,meal,"965 Albany Shaker Rd, Latham",42.7644157409668,-73.8140869140625,+15187863691,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.regionalfoodbank.net/
