id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
allegheny-pa-overture-fc58e78e,Greater Pittsburgh Community Food Bank,meal,"1 N Linden St, Duquesne",40.37556838989258,-79.8421630859375,+14124603663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.pittsburghfoodbank.org/
allegheny-pa-overture-512ed936,Forged in Faith Church Food Bank,meal,"810 Little Deer Creek Valley Rd, Russellton",40.6133918762207,-79.83524322509766,+17242306009,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://forgedinfaithchurch.com/food-bank
allegheny-pa-overture-9d3079f7,Ma's Pantry,meal,"1000 Broadway Ave, East Mc Keesport",40.38371276855469,-79.81036376953125,14128240277,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.maspantry.org
allegheny-pa-overture-1ab3cdf5,Holy Angels Food Pantry,meal,"201 Caldwell Ave, Wilmerding",40.39246368408203,-79.8105697631836,+14128551991,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
allegheny-pa-overture-1f4c1792,West Hills Food Pantry,meal,"522 Carnot Rd, Moon Twp",40.513404846191406,-80.22211456298828,14122621253,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://westhillsfoodpantry.org
allegheny-pa-overture-3b0439b7,Lower Valley Community Food Bank,meal,"325 School St, Springdale",40.542236328125,-79.77826690673828,+17242740867,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://lowervalleyfoodbank.org/
allegheny-pa-overture-aeb566dd,Plum Food Pantry,meal,"81 Sandune Dr, Pittsburgh",40.4639892578125,-79.70372772216797,17243270367,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.plumfoodpantry.org
allegheny-pa-overture-777f47ed,Cupboard Stretchers-White Oak Food Pantry,meal,"1665 Lincoln Way, White Oak",40.346038818359375,-79.8154067993164,+14126785355,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://cupboardstretchers.org/
allegheny-pa-overture-1f2930e2,Rosedale Food Pantry,meal,"5501 3rd St, Verona",40.482669830322266,-79.84080505371094,+14123022509,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rosedalefoodpantry.org/
allegheny-pa-overture-a27ed858,Hearth,shelter,"3724 Mt Royal Blvd, Shaler Twp",40.55259704589844,-79.9698715209961,+14123669801,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hearth-bp.org
allegheny-pa-overture-2588f25c,Feeding The Flock Ministries,meal,"490 Nixon Rd, Cheswick",40.556087493896484,-79.8206558227539,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://feedtheflocks.org
allegheny-pa-overture-43ffe61e,Bridgeville Community Food Bank,meal,"740 Washington Ave, Bridgeville",40.356075286865234,-80.11402893066406,14122215132,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
allegheny-pa-overture-d767294e,North Hills Food Bank,meal,"845 Perry Hwy, Pittsburgh",40.5319938659668,-80.03719329833984,+14123667477,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://northhillsfoodbank.org
