id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
allen-in-overture-7d55ddd8,"Fort Wayne Housing Authority, Brookmill Court",shelter,"2751 Millbrook Dr, Fort Wayne",41.05900955200195,-85.16813659667969,+12604497836,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://fwha.org/communities/brookmill-court
allen-in-overture-ba26b9b7,St Patrick Food Bank,meal,"2120 S Harrison St, Fort Wayne",41.0658073425293,-85.13947296142578,12604564868,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.saintpatrickfw.com
allen-in-overture-713a7bf3,Community Harvest Food Bank,meal,"999 E Tillman Rd, Fort Wayne",41.018062591552734,-85.1221694946289,+12604473696,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.communityharvest.org
allen-in-overture-67fe24c7,Charis House,shelter,"431 Fairmount Pl, Fort Wayne",41.083797454833984,-85.14700317382812,+12604268123,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://homelessministries.org
allen-in-overture-7932e787,Antioch Church Hoagland Food Pantry,meal,"14908 Minnich Rd, Hoagland",40.947776794433594,-84.9980697631836,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
allen-in-overture-4c99a2fe,Ave Marie House,shelter,"432 Madison St, Fort Wayne",41.076053619384766,-85.13236999511719,+12604243355,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.stmarysfw.org/
allen-in-overture-7537e5bf,Fort Wayne Housing Authority,shelter,"2210 Beacon St, Fort Wayne",41.09588623046875,-85.10271453857422,+12604497832,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
allen-in-overture-75766671,Vincent House,shelter,"2827 Holton Ave, Fort Wayne",41.059120178222656,-85.11842346191406,+12604564172,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vincentvillage.org/
allen-in-overture-eec70e35,Grabill Food Bank,meal,"13620 Main St, Grabill",41.21166229248047,-84.96627044677734,+12606270645,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
allen-in-overture-4ab75104,Community Harvest Food Bank,meal,"1010 N Coliseum Blvd, Fort Wayne",41.086360931396484,-85.08512878417969,+12604499694,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.communityharvest.org/special-food-distribution-sunday-january-19-2020
allen-in-overture-0f70ab4f,Fort Wayne Housing Authority,shelter,"3626 Brooklyn Ave, Fort Wayne",41.05091857910156,-85.16464233398438,+12604498602,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
allen-in-overture-413729b4,Wellspring Interfaith Social Services,meal,"1316 Broadway, Fort Wayne",41.07319641113281,-85.1480712890625,+12604226618,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wellspringinterfaith.org/donate/
allen-in-overture-2bf7346c,Ft Wayne Rescue Mission,shelter,"404 E Washington Blvd, Fort Wayne",41.077781677246094,-85.1336669921875,+12604267357,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fwrm.org/
allen-in-overture-d221d454,A Mother's Hope,shelter,"5322 N Clinton St, Fort Wayne",41.12776565551758,-85.12368774414062,+12604444975,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/amhfw
allen-in-overture-116edf63,Miss Virginia's Mission House,meal,"1312 S Hanna St, Fort Wayne",41.07386779785156,-85.12906646728516,+12604260176,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://missvirginiafoodpantry.com
