id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
androscoggin-me-overture-0e0c384c,Nutrition for ME,meal,"3121 Hotel Rd, Auburn",44.030540466308594,-70.28846740722656,+12077823554,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.nutritionforme.org/
androscoggin-me-overture-56d13677,Pathway Community Center - Lewiston,meal,"9 Foss Rd, Lewiston",44.05513381958008,-70.13605499267578,+12077849500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://pathwayvineyard.com/
androscoggin-me-overture-f5ce166a,Lisbon High School-mobile Pantry,meal,"2 Sugg Dr, Lisbon",44.002906799316406,-70.07096099853516,2077252716,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.mchpp.org
androscoggin-me-overture-3f3f7522,St. Martin De Porres,shelter,"23 Bartlett St, Lewiston",44.09919738769531,-70.2127685546875,+12077864690,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
androscoggin-me-overture-542df92d,Lisbon Area Christian Outreach,meal,"14 School St, Lisbon",44.00038528442383,-70.06074523925781,+12075761109,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
androscoggin-me-overture-e173ca5c,Loaves and Fishes of Sabattus,meal,"61 Lisbon Rd, Sabattus",44.108665466308594,-70.11087036132812,+12073758399,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://loavesandfishes.me/
androscoggin-me-overture-04df4460,Hope House Network - Food Pantry,meal,"91 College St, Lewiston",44.10099792480469,-70.21096801757812,+12075771165,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
androscoggin-me-overture-25e46305,Good Shepherd Food Bank,meal,"3121 Hotel Rd, Auburn",44.030601501464844,-70.2883071899414,+12077823554,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.feedingmaine.org/
androscoggin-me-overture-6cdd26ef,Gather to Grow,shelter,"208 Bates St, Lewiston",44.09528732299805,-70.212890625,+12075133848,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://gathertogrowmaine.org/
androscoggin-me-overture-1bf946ad,The Drop-In Center,shelter,"121 Mill St, Auburn",44.088008880615234,-70.22583770751953,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.thedrop-incenter.org/
