id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
anne-arundel-md-overture-46348ff5,Arundel House of Hope,shelter,"7164 E Furnace Branch Rd Ste A, Glen Burnie",39.17979431152344,-76.60922241210938,+14108634888,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.arundelhoh.org/
anne-arundel-md-overture-fa042320,Asbury Church Assistance Network,meal,"429 Asbury Dr, Severna Park",39.08493423461914,-76.54838562011719,+14106477667,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://acanfoodpantry.org/
anne-arundel-md-overture-90fe5297,Sarah's House,shelter,"2015 20th St, Fort Meade",39.11790084838867,-76.72791290283203,+16676003550,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.catholiccharities-md.org/services/sarahs-house/
anne-arundel-md-overture-3885f6df,Leading By Feeding,meal,"502 McCormick Dr, Glen Burnie",39.16145706176758,-76.67475128173828,+14105534505,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.leadingbyfeeding.org/
anne-arundel-md-overture-e4024d6f,Harvest Resources,meal,"117 Roesler Rd, Glen Burnie",39.176631927490234,-76.61416625976562,+14432851578,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Harvestresources.net/
anne-arundel-md-overture-62ab2596,My Brother's Pantry,meal,"301 College Pkwy, Arnold",39.0513916015625,-76.50651550292969,14107575190,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://mybrotherspantry.org
anne-arundel-md-overture-ea672b08,"The Light House, Inc.",shelter,"10 Hudson St, Annapolis",38.983787536621094,-76.53419494628906,14103495056,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.annapolislighthouse.org
anne-arundel-md-overture-e4e2e7a9,Food Link,meal,"2666 Riva Rd, Annapolis",38.974639892578125,-76.56134796142578,+14108973941,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodlinkmaryland.org
anne-arundel-md-overture-82c7a231,Anne Arundel County Food Bank,meal,"120 Marbury Dr, Crownsville",39.021121978759766,-76.60253143310547,+14109234255,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://aafoodbank.org/
anne-arundel-md-overture-ae199cf5,Y Fresh Mart,meal,"26 Magothy Beach Rd, Pasadena",39.12052917480469,-76.51875305175781,14104374242,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://ymaryland.org
anne-arundel-md-overture-dfa74509,SCAN Food Pantry,meal,"5757 Solomons Island Rd, Lothian",38.789737701416016,-76.59745025634766,+14108672838,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.scanfoodpantry.org/
anne-arundel-md-overture-314655c2,Caring Cupboard,meal,"8513 Fort Smallwood Rd, Pasadena",39.156280517578125,-76.5164794921875,14438408079,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.caringcupboardllc.com
