id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
baltimore-osm-3dcb1486,Little Free Pantry,meal,"1321 Filbert St, Baltimore, MD",39.2250178,-76.5919934,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/3432391425
baltimore-osm-8d6897d2,Bethel Outreach Center,meal,"1429 McCulloh Street, Baltimore, MD, 21217",39.3040797,-76.6294166,+14107282557,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/3432399718
baltimore-osm-53f70834,Our Place Soup Kitchen,meal,"3215 West Belvedere Avenue, Baltimore, MD, 21215",39.3482977,-76.6762781,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/3432414421
baltimore-osm-0d8236d1,Our Daily Bread,shelter,"411 Cathedral Street, Baltimore, MD, 21201",39.2949306,-76.6166875,+14106594022,,,,,,,,,,,,,,07:30-08:20,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/3432416429
baltimore-osm-b8ba1f4e,Assisi House of St. Patrick Church,meal,"318 South Regester Street, Baltimore, MD, 21231",39.2870733,-76.5925346,+14102765809,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/3432416615
baltimore-osm-798d4a6d,Youth Empowered Society (YES) Drop-In Center,shelter,"2315 North Charles Street, Baltimore, MD, 21218",39.3158175,-76.6167198,+14102357744,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/3575552868
baltimore-osm-ece602a3,Fellowship of Lights,shelter,"1101 Saint Paul Street, Baltimore, 21202",39.3025867,-76.6141678,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4802720026
baltimore-osm-707ab04d,Bishops' Storehouse,meal,"900 Madison Avenue, Baltimore, MD, 21201",39.2998382,-76.623444,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/7241113388
baltimore-osm-26090777,Marian House,shelter,,39.3256619,-76.6030961,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10656604957
baltimore-osm-aabaefde,"Meals on Wheels of Central Maryland, Inc.",meal,"515 South Haven Street, Baltimore, MD, 21224",39.2860437,-76.5622085,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12634535957
baltimore-osm-178174e9,East Baltimore Church of God Food Distribution Center,meal,"800 Oldham Street, Baltimore, MD, 21224",39.2837062,-76.5560445,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12634535958
baltimore-osm-2ff44bde,Canton Baptist Church - Food Distribution Center,meal,"3302 Toone Street, Baltimore, MD, 21224",39.2785848,-76.5687924,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12634535960
baltimore-osm-b1cf1e7c,The Fells Point Compassion Center,meal,"1706 Eastern Avenue, Baltimore, MD, 21231",39.2857218,-76.5927654,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12634535961
baltimore-osm-47b2a6f9,Living Classrooms / Project Serve - Food Distribution Center,meal,"802 South Caroline Street, Baltimore, MD, 21231",39.2816648,-76.5978041,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12634535962
baltimore-osm-f6265a5d,Beans & Bread,meal,"400 South Bond Street, Baltimore, MD, 21231",39.286377,-76.5955579,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12634535963
