id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
berks-pa-overture-c4688e47,Keystone Military Families,meal,"331 Main St Rear, Shoemakersville",40.518341064453125,-75.96988677978516,16106982122,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://keystonemilitaryfamilies.org
berks-pa-overture-6fcd4335,Eckville Shelter,shelter,Kempton,40.633811950683594,-75.95785522460938,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
berks-pa-overture-a7cb22bb,William Penn Shelter,shelter,"Appalachian National Scenic Trail, Bethel",40.49568176269531,-76.41411590576172,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
berks-pa-overture-5e1632b1,Supportive Services for Veteran Families (SSVF) Berks County,shelter,"430 N 2nd St SE, Reading",40.34310531616211,-75.93391418457031,6103744696,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
berks-pa-overture-0af5ab4d,Hope Rescue Mission,shelter,"645 N 6th St, Reading",40.34540557861328,-75.92501831054688,+16103754224,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hopeforreading.org/donate
berks-pa-overture-e39b94e8,Mary's Shelter,shelter,"615 Kenhorst Blvd, Reading",40.3197021484375,-75.95115661621094,+16103761973,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.marysshelter.org/
berks-pa-overture-36093d23,Hannah's Hope Ministries,shelter,"736 Upland Ave, Reading",40.31420135498047,-75.93510437011719,+16106557716,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hannahshopeministriesreading.org/
berks-pa-overture-9240a051,Muhlenberg Churches Food Pantry,meal,"1301 E Bellevue Ave, Laureldale",40.390445709228516,-75.9166259765625,+16109290331,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
berks-pa-overture-e15bb81c,Helping Harvest,meal,"117 Morgan Dr, Reading",40.31174087524414,-75.99202728271484,+16109265802,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://helpingharvest.org/food-map/
berks-pa-overture-763c0d3c,Exeter Area Food Pantry,meal,"Exeter Township School District, 200 Elm St, Reading",40.32192611694336,-75.8609390258789,+16105722344,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
berks-pa-overture-fdcafc36,Family Promise of Berks County,shelter,"325 N 5th St #1, Reading",40.34074401855469,-75.9276351928711,+16103733323,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.FamilyPromiseOfBerks.org/
berks-pa-overture-5e1239e6,Windsor Furnace Shelter,shelter,"400-404 Reservoir Rd, Windsor",40.590553283691406,-75.94123840332031,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
berks-pa-overture-7fed4ed0,SVCOG Food Pantry,meal,"2727 Old Pricetown Rd, Temple",40.37590026855469,-75.89653015136719,+16109297969,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://springvalley.church/
