id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
berkshire-ma-overture-cbb19122,South Community Food Pantry,meal,"110 South St, Pittsfield",42.446712493896484,-73.25491333007812,14134427357,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.southcommunityfoodpantry.org
berkshire-ma-overture-d0e9ec36,Williamstown Food Pantry,meal,"53 Southworth St, Williamstown",42.71345520019531,-73.2005386352539,14134584946,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://williamstowncatholics.org
berkshire-ma-overture-0fe92ac6,Friendship Center Food Pantry,meal,"45 Eagle St, North Adams",42.69978332519531,-73.1093978881836,+14136640123,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://northernberkshireinterfaith.blogspot.com/
berkshire-ma-overture-b163b75d,Louison House,shelter,"149 Church St, North Adams",42.6964111328125,-73.10736083984375,+14136636323,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.louisonhouse.org/
berkshire-ma-overture-8eb3225f,Ashley Falls Blessing Box,meal,"1156 Ashley Falls Rd, Ashley Falls",42.05719757080078,-73.33598327636719,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
berkshire-ma-overture-3bcb3820,Holy Family Terrace,shelter,"611 State Rd #315, North Adams",42.70008850097656,-73.15623474121094,+14136622017,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.berkshirehousing.com
berkshire-ma-overture-fd0f0657,Loaves and Fishes Pantry,meal,"755 Main St, Dalton",42.47445297241211,-73.15898895263672,+14136840521,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
berkshire-ma-overture-faed5a45,Otis Food Pantry,meal,"1 N Main Rd, Otis",42.19245910644531,-73.09370422363281,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
berkshire-ma-overture-6b5c680b,Berkshire Food Project,meal,"134 Main St, North Adams",42.698158264160156,-73.11001586914062,14136647378,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://berkshirefoodproject.org
berkshire-ma-overture-e790d52f,The People's Pantry,meal,"5 St James Pl, Great Barrington",42.19312286376953,-73.36451721191406,+14135910301,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thepeoplespantrygb.org/
