id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
birmingham-uk-osm-510484f8,Acocks Green Foodbank,meal,"100 Westley Road, Birmingham, B27 7UL",52.4449051,-1.8279013,+441217072853,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9340371453
birmingham-uk-osm-9e32fb6b,Birmingham Central Foodbank,meal,"65 Parade, Birmingham, B1 3QQ",52.4818467,-1.9104221,+441212362997,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9340372764
birmingham-uk-osm-819ca9cc,Feedo Needo Foodbank,meal,"Digbeth, Birmingham, B5 6BS",52.4759686,-1.8909044,+443003111312,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9340375508
birmingham-uk-osm-97a58a65,Sparkhill Foodbank,meal,"Units 20-21, Rovex Business Park Hay Hall Road, Birmingham, B11 2AQ",52.4566975,-1.8408215,+441217081398,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9340379358
birmingham-uk-osm-252db69b,Aston & Nechells Foodbank,meal,"63 Wardlow Road, Birmingham, B7 4JH",52.490492,-1.8769643,+441213590801,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9340386548
birmingham-uk-osm-c0ee2cf2,Erdington Foodbank,meal,"Wood End Road, Birmingham, B24 8AD",52.5213776,-1.8432288,+447474683927,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9340455367
birmingham-uk-osm-305892da,Northfield Foodbank,meal,"693 Bristol Road South, Birmingham, B31 2JT",52.4172712,-1.9688487,+441214112157,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9340513087
birmingham-uk-osm-2843d701,Handsworth Birmingham Foodbank,meal,"Holyhead Road, Birmingham, B21 0LA",52.5049979,-1.9448309,+441215070734,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9340527974
birmingham-uk-osm-48e77fd2,Quinton & Oldbury Foodbank,meal,"Quinton Road West, Birmingham, B32 2QD",52.4517563,-1.9823751,+447732157619,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9340546650
birmingham-uk-osm-9e5f3397,B30 Foodbank,meal,"Pershore Road South, Birmingham, B30 3EJ",52.4154905,-1.9302906,+447582143972,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/9340569200
