id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
boston-osm-c534668d,Pine Street Inn,shelter,"444 Harrison Avenue, Boston",42.3432437,-71.0644988,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/1019015211
boston-osm-905a1fde,Access: Drug User Health Program,medical,359 Green Street,42.3657073,-71.1055987,+16176613040,,,,,,,,,,,,,,"Mo,Tu,We,Fr 09:00-16:00; Th 09:00-12:00",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/4541712431
boston-osm-b07402c4,New England Center & Home for Veterans,shelter,,42.3590324,-71.0583956,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/5746096969
boston-osm-693a4b3a,Interfaith Social Services,meal,,42.2563458,-71.0092771,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/10179135868
boston-osm-7e3be972,Faith Kitchen,meal,,42.3668996,-71.1072152,,,,,,,,,,,,,,,"Tu[2],Tu[-1] 18:30-19:30",,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/12230831174
boston-osm-89684963,Warming Center,shelter,"437 Green Street, Cambridge, MA",42.3665316,-71.1066056,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13163010612
boston-osm-225413a5,Micro Pantry: Cary Square @ Temple Emmanuel,meal,"60 Tudor Street, Chelsea, MA, 02150",42.3982523,-71.0303885,,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13168033122
boston-osm-f108cfe6,Micro Pantry: Iglesia La Luz de Cristo / SELAH Resource Center,meal,"738 Broadway, Chelsea, MA, 02150",42.3966371,-71.0276073,,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13265241934
boston-osm-4aa78435,Micro Pantry: CAPIC Head Start,meal,"67 Crescent Avenue, Chelsea, MA, 02150",42.3951698,-71.0281504,,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13265241935
boston-osm-d3197712,Micro Pantry: Early Learning Center,meal,"99 Hawthorn Street, Chelsea, MA, 02150",42.3897303,-71.0348491,,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13265241936
boston-osm-1f5db95a,Micro Pantry: Jordan Boys and Girls Club / Highland Park,meal,"30 Willow Street, Chelsea, MA, 02150",42.3874758,-71.0272612,,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13265241937
boston-osm-c0e3af32,Micro Pantry: Senior Living at Bellingham Hill,meal,"100 Bellingham Street, Chelsea, MA, 02150",42.3915161,-71.02927,,,,,,,,,,,,,,,24/7,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13265241938
boston-osm-99b5454c,Allston-Brighton Food Pantry,meal,"404 Washington Street, Brighton, MA, 02135",42.3488309,-71.1551519,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/13530066941
boston-osm-82f38da9,Dedham Food Pantry,meal,600 Washington Street,42.2411925,-71.1781686,+17812691541,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/node/14088719338
boston-osm-00b2d62a,Casa Nueva Vida,shelter,"53 Glen Road, Jamaica Plain, MA, 02130",42.3081538,-71.101808,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/29588009
boston-osm-228c34a6,Pine Street Inn,shelter,"444 Harrison Avenue, Boston, MA, 02118",42.3426348,-71.0632703,+16178929100,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/29650792
boston-osm-d57d24d9,Southampton Street Shelter,shelter,110;112 Southampton Street,42.3323937,-71.0692808,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/29715581
boston-osm-dff5a929,Crittenton Hastings House,shelter,"10 Perthshire Road, Brighton, MA, 02135",42.3527791,-71.1657486,,,,,,,,,,,,,,,,,,,2026-09-02,,website,ok,Source: https://www.openstreetmap.org/way/1279915783
