id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
bristol-ma-overture-0fe27ec9,First Step Inn,shelter,"134 Durfee St, Fall River",41.704471588134766,-71.15640258789062,+15086798001,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.steppingstoneinc.org
bristol-ma-overture-f862571c,Our Daily Bread Kitchen,meal,"111 High St, Taunton",41.89964294433594,-71.09699249267578,+15088241788,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.amazon.com/hz/wishlist/ls/2OYCUE8UXF4UZ?ref_=wl_share
bristol-ma-overture-18dafb22,Gates Of Hope,meal,"112 Flint St, Fall River",41.693092346191406,-71.13518524169922,15088371962,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.gatesofeden.org
bristol-ma-overture-d01f3588,Hebron Food Pantry,meal,"11 Sanford St, Attleboro",41.944332122802734,-71.27753448486328,+17743312120,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://hebronfoodpantry.org/
bristol-ma-overture-7cff3afc,Gates Of Hope Inc.,meal,"311 Alden St, Fall River",41.68778610229492,-71.13389587402344,+15088371962,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.gatesofhopeinc.org/
bristol-ma-overture-f6c90ad3,The Matthew Mission Food Pantry,meal,"76 Church Green, Taunton",41.901458740234375,-71.08781433105469,+15088229092,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://matthewmissionfoodpantry.org/
bristol-ma-overture-a97a6899,Veterans Housing Program,shelter,"1060 Pleasant St #3, New Bedford",41.642826080322266,-70.92814636230469,+15089925313,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://vetshouse.org
bristol-ma-overture-00837f14,Hebron Food Pantry,meal,"11 Sanford St, Attleboro",41.94552993774414,-71.28533935546875,7743312120,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hebronfoodpantry.org/
bristol-ma-overture-8bf9278f,Svdp Saint Theresa's Food Pantry - Food Distribution Center,meal,"18 Baltic St, Attleboro",41.90144348144531,-71.36674499511719,15087616665,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: svdpattleboro.org
bristol-ma-overture-185616ff,Murray Unitarian Universalist Church Food Pantry,meal,"505 N Main St, Attleboro",41.957244873046875,-71.28759002685547,+15082220505,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.murrayuuchurch.org
