id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
brown-wi-overture-0109c06a,Safe Shelter,shelter,"2155 Hutson Rd, Green Bay",44.52839660644531,-88.08302307128906,19209323380,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.safesheltergb.org
brown-wi-overture-7f70ae73,Manna For Life Thrift Store and Ministries,meal,"1545 University Ave, Green Bay",44.51229476928711,-87.98405456542969,+19204373629,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mannaforlifegb.org/
brown-wi-overture-a1fbba30,House of Hope Green Bay,shelter,"1660 Christiana St, Green Bay",44.5306282043457,-88.06396484375,+19208846740,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://houseofhopegb.org/
brown-wi-overture-aa40631b,Brown County Shelter Care,shelter,"2980 St Anthony Dr, Green Bay",44.52159118652344,-87.93685913085938,+19203914625,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.browncosheriff.com
brown-wi-overture-5f4a9255,Hope Center,meal,"505 Clinton St, Green Bay",44.51142501831055,-88.02651977539062,+19204373356,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hopecentergb.com/hope-center-pantry/
brown-wi-overture-a3bebfee,New Community Shelter Inc,shelter,"301 Mather St, Green Bay",44.52336120605469,-88.01498413085938,+19204373766,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.newcommunityshelter.org/
brown-wi-overture-f2dc2509,Ecumenical Partnership for Housing,shelter,"200 S Monroe Ave, Green Bay",44.51104736328125,-88.0116958618164,+19205440258,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ephgb.org/
brown-wi-overture-b2368d3e,Denmark Community Cupboard,meal,"Denmark Veterans War Memorial Park Shelter House, Denmark",44.34732437133789,-87.82484436035156,+19207860525,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.denmarkcommunitycupboard.org/
brown-wi-overture-51b040e6,"Ruby's Pantry - Green Bay, WI - West",meal,"210 S Oneida St, Green Bay",44.52213668823242,-88.0439682006836,+19204991033,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.redeemerlutherangb.com/
brown-wi-overture-84a89540,Pauls Pantry,meal,"1520 Leo Frigo Way, Green Bay",44.52486038208008,-87.99457550048828,+19204330343,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.paulspantry.org/donate/
brown-wi-overture-83d47398,Freedom House,shelter,"2997 St Anthony Dr, Green Bay",44.52314758300781,-87.93762969970703,+19204324646,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.freedomhousegb.org/
