id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
bucks-pa-overture-c140fe7a,Coalition to Shelter and Support the Homeless,shelter,"196 W Ashland St, Doylestown",40.30528259277344,-75.13214874267578,+18663900291,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.co2ssh.org/
bucks-pa-overture-81a10cd4,Bucks County Housing Group - Doylestown Food Pantry,meal,"470 Old Dublin Pike, Doylestown",40.33565902709961,-75.14640808105469,+12153948259,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bchg.org
bucks-pa-overture-2d80b8a0,Quakertown Food Pantry,meal,"101 N 3rd St Apt B, Quakertown",40.442909240722656,-75.33695983886719,+12155360240,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://quakertownfoodpantry.cfsites.org
bucks-pa-overture-5a2ea1ae,Interfaith Food Alliance,meal,"501 W Maple Ave, Morrisville",40.21089172363281,-74.78941345214844,+12153780202,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.interfaithfoodalliance.com/
bucks-pa-overture-556457c0,Ywca- Food Panty,meal,"3338 Richlieu Rd, Bensalem",40.12535858154297,-74.95757293701172,12156395853,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: ywcabucks.org
bucks-pa-overture-35edac5b,Mary's Cupboard,meal,"100 Levittown Pkwy, Tullytown",40.142940521240234,-74.8177719116211,+12159491991,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.saintfrancescabrini.net
bucks-pa-overture-e04d8b5d,"The Little Free Pantry- Feasterville, PA",shelter,"65 E Street Rd, Feasterville-Trevose",40.14933395385742,-75.0010986328125,+12153578138,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
bucks-pa-overture-fc8d4519,Jesus Focus Ministry,meal,"1030 2nd Street Pike, Southampton",40.1804313659668,-75.03937530517578,12159532000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
bucks-pa-overture-2084c59c,Bristol Borough Community Action Group,meal,"99 Wood St, Bristol",40.09550094604492,-74.8586196899414,+12679076368,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://givebucks.org/
bucks-pa-overture-85ed428c,Saint Isadore Food Pantry,meal,"603 W Broad St Basecamp 1, Quakertown",40.44189453125,-75.34186553955078,+12153269127,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
bucks-pa-overture-84e9d9f6,Saint John Bosco Parish Food Pantry,meal,"215 E County Line Rd, Warminster Twp",40.18197250366211,-75.08660888671875,+12156720514,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
bucks-pa-overture-d1dd0c29,Faith Baptist Food Bank,meal,"1515 Wistar Rd, Fairless Hills",40.16673278808594,-74.86911010742188,+12159467550,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.faithbaptistfoodbank.com/
bucks-pa-overture-49109ba7,Bucks County Emergency Homeless Shelter,shelter,"7 Library Way, Levittown",40.1578369140625,-74.8534927368164,+12159491727,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.fsabc.org/wish-list-shelter
bucks-pa-overture-008db297,Bucks County Housing Authority,shelter,"240 Levittown Pkwy, Tullytown",40.14509582519531,-74.82075500488281,+12159456110,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.buckscounty.org
bucks-pa-overture-84824918,Warminster Food Bank,meal,"495 E County Line Rd, Hatboro",40.177371978759766,-75.08074188232422,+12153234797,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.warminsterfoodbank.org/
bucks-pa-overture-fff73613,LH Cares Food Pantry,meal,"1271 E Maple Ave, Langhorne",40.178489685058594,-74.9026870727539,+12157578782,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.churchlh.com/
