id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
butler-oh-overture-e92798c7,Serve City,shelter,"622 East Ave, Hamilton",39.39091110229492,-84.55276489257812,+15137378900,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://serve-city.org/
butler-oh-overture-8769c49e,Loving Care Transitional Home & Loving Care Services,shelter,"8354 Princeton Glendale Rd, West Chester",39.35007095336914,-84.45891571044922,+15138601026,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mylovingcareservices.com/contact.html
butler-oh-overture-ea33cec5,Hope House Mission,shelter,"1001 Grove St, Middletown",39.50518798828125,-84.4012451171875,+15134244673,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hhmission.org/
butler-oh-overture-ba58857e,Mercy Health - St. Raphael,meal,"610 High St, Hamilton",39.39783477783203,-84.55523681640625,5136038200,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.mercy.com/cincinnati
butler-oh-overture-03fe7a24,The Village Food Pantry,meal,"617 N Riverside Dr, Hamilton",39.441654205322266,-84.5354995727539,+15139077481,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://villagefoodpantry.org/
butler-oh-overture-db434a9e,Center of Hope for Women and Children,shelter,"1300 Girard Ave, Middletown",39.5116081237793,-84.40127563476562,+15132175056,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hhmission.org
butler-oh-overture-5c75640b,TOPSS,meal,"5445 College Corner Pike, Oxford",39.523433685302734,-84.7647933959961,+15135235859,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.topss.org/
butler-oh-overture-3718e79b,Fairfield Food Pantry,meal,"78 Donald Dr, Fairfield",39.343772888183594,-84.53539276123047,+15138299047,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fairfieldfoodpantry.org/
butler-oh-overture-b8f81028,JEE Foods,meal,"131 N Third St, Hamilton",39.40105438232422,-84.55982208251953,5135496990,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://jeefoods.org/
butler-oh-overture-1618039c,Reach Out Lakota,meal,"6561 Station Rd, West Chester",39.32975769042969,-84.40760040283203,+15137797515,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.reachoutlakota.org/
butler-oh-overture-f003dbdd,Burning Bush Charities,meal,"105 Court St, Hamilton",39.3991584777832,-84.563720703125,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
butler-oh-overture-a73672da,Haven House Emergency Shelter,shelter,"550 High St, Hamilton",39.39826202392578,-84.55607604980469,+15138638866,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.havenhouseshelter.org/
butler-oh-overture-1f146c36,Open Door Food Pantry,meal,"800 S Front St, Hamilton",39.3921012878418,-84.56727600097656,+15138683276,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.opendoorfoodpantry.org/
butler-oh-overture-efae7b69,Shared Harvest Foodbank,meal,"5901 Dixie Hwy, Fairfield",39.327919006347656,-84.51598358154297,+15138740114,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sharedharvest.org/
