id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
butte-ca-overture-3e14fb59,True North Housing Alliance,shelter,"101 Silver Dollar Way, Chico",39.719886779785156,-121.8100357055664,+15308919048,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://truenorthbutte.org/
butte-ca-overture-be188a22,Paradise Gleaners Food Center,meal,"6695 Skyway, Paradise",39.761966705322266,-121.62307739257812,+15308720637,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
butte-ca-overture-4c34cb3e,Chico Housing Action Team,shelter,"125 Mission Ranch Blvd, Chico",39.75306701660156,-121.86066436767578,15303993965,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://chicohousingactionteam.net
butte-ca-overture-a6828cd5,Safe Space Chico,shelter,"1909 Esplanade, Chico",39.74641036987305,-121.85240173339844,+15303993187,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/sschico
butte-ca-overture-ac398269,Jesus Center,shelter,"2255 Fair St, Chico",39.71867752075195,-121.81719207763672,+15303452640,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.jesuscenter.org/
butte-ca-overture-7b423107,Oroville Rescue Mission,shelter,"4250 Lincoln Blvd, Oroville",39.49129104614258,-121.55137634277344,15305349541,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.orovillerescuemission.org
butte-ca-overture-91f6d2ff,Esplanade House,shelter,"181 E Shasta Ave, Chico",39.76370620727539,-121.86617279052734,+15307122600,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://esplanadehousechico.com
butte-ca-overture-1e40f14e,Roadrunner Hub,meal,"3536 Butte Campus Dr, Oroville",39.64997482299805,-121.64701843261719,+15308952978,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
butte-ca-overture-edf2ed20,Oroville Resource Center & Rescue Mission,shelter,"2775 Feather River Blvd, Oroville",39.48812484741211,-121.57249450683594,+15305339120,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://orovilleresourcecenter.org/
butte-ca-overture-39d0ee7f,Hungry Wildcat Food Pantry,meal,"400 W 1st St, Chico",39.729671478271484,-121.84477233886719,15308984098,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.csuchico.edu/bccer
