id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
capitol-ct-overture-bdb9c973,Five Corner Cupboard Food Pantry,meal,"mailing 140 Phelps (physical site, 124 Scantic Rd, East Windsor",41.89910888671875,-72.5809326171875,+18606231747,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.facebook.com/FiveCornerCupboardFoodPantry
capitol-ct-overture-598779ca,Family Promise of Central Connecticut,shelter,"40 Cornelius Way, New Britain",41.65721893310547,-72.77871704101562,+18602595649,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://neighborhoodpromise.org/
capitol-ct-overture-54cb142f,East Hartford Housing Auth,shelter,"101 Connecticut Blvd, East Hartford",41.76913833618164,-72.6488265991211,+18605282029,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
capitol-ct-overture-ec7a4e2d,Cornerstone Foundation,shelter,"15 Prospect St P.O.B. 3, Vernon",41.86892318725586,-72.44424438476562,+18608711823,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cornerstone-cares.org/
capitol-ct-overture-c77c0585,Erwin Home,shelter,"140 Bassett St, New Britain",41.65762710571289,-72.77951049804688,+18602291227,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.erwinhome.org
capitol-ct-overture-76be6c22,Berlin Housing Authority,shelter,"250 Kensington Rd, Berlin",41.62731170654297,-72.77096557617188,+18608284500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.town.berlin.ct.us/department/board.php?structureid=81
capitol-ct-overture-db7c8e6e,Saint Joseph Pantry,meal,"136 Farmington Ave, Hartford",41.76827621459961,-72.6911849975586,+18605781434,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.hartfordcathedral.org/
capitol-ct-overture-b810215e,Billings Forge Community Works,meal,"140 Russ St, Hartford",41.76179885864258,-72.68732452392578,+18605489877,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.billingsforgeworks.org
capitol-ct-overture-e9181442,The Open Hearth,shelter,"150 Charter Oak Ave, Hartford",41.75840377807617,-72.66622161865234,+18605253447,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.theopenhearth.org/
capitol-ct-overture-23a08c53,Saint Rose Food Pantry - Food Distribution Center,meal,"33 Church St, East Hartford",41.77776336669922,-72.6104965209961,18602820076,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.namct.org
capitol-ct-overture-cbba18b7,Macc Community Emergency Food Pantry,meal,"460 Main St, Manchester",41.777435302734375,-72.5215072631836,18606478003128,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.macc-ct.org
capitol-ct-overture-8e6bff48,My Sisters' Place,shelter,"221 Main St, Hartford",41.758365631103516,-72.67558288574219,+18608956629,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://sistersplacect.org/
capitol-ct-overture-d8afd1d8,East Hartford New Testament Church of God - Helping Hands Food Pantry,meal,"91 Tolland St, East Hartford",41.77619171142578,-72.630126953125,+18602895249,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
capitol-ct-overture-09173976,Enfield Food Shelf,meal,"786 Enfield St, Enfield",42.00151443481445,-72.594482421875,+18607417321,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.enfieldfoodshelf.org/
capitol-ct-overture-1264547c,Sca Food Pantry - Food Distribution Center,meal,"450 South St, Suffield",41.971771240234375,-72.65913391113281,18606681986,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: suffieldcommunityaid.org
capitol-ct-overture-03be56c9,Mercy Housing,shelter,"118 Main St, Hartford",41.756988525390625,-72.67466735839844,+18608082048,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mercyhousingct.org/
capitol-ct-overture-475ad2c3,Windsor Food Bank - Food Distribution Center,meal,"599 Matianuck Ave, Windsor",41.82319259643555,-72.67472076416016,18602851839,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://windsorfoodbank.org
capitol-ct-overture-b607a400,Saint Mary's Food Bank - Food Distribution Center,meal,"15 Maplewood Ave, East Hartford",41.7805061340332,-72.63491821289062,18609958651,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.namct.org
capitol-ct-overture-d6dce1e4,Tiempo De Cosecha,meal,"80 Alden Ave, Enfield",42.00225067138672,-72.59644317626953,+18602687850,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.tiempodecosecha.org/
capitol-ct-overture-b47f1657,Food Bank of Marlborough,meal,"3 Wilhenger Dr, Marlborough",41.627384185791016,-72.45446014404297,+18602956008,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
capitol-ct-overture-360c1376,Project HOPE of Eastern Connecticut,shelter,"433 Valley St, Willimantic",41.71601867675781,-72.22455596923828,+18604501346,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.projecthopeect.org/
capitol-ct-overture-ba065dc0,ImmaCare Inc. Shelter,shelter,"560 Park St, Hartford",41.75820541381836,-72.68638610839844,+18607244823,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ImmaCare.org/
capitol-ct-overture-68063d21,South Park Inn,shelter,"75 Main St, Hartford",41.756492614746094,-72.67613983154297,+18607240071,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.southparkinn.org/
