id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
chester-pa-overture-a540612e,People's Pantry at Church Road,meal,"384 Lancaster Ave, Malvern",40.03700637817383,-75.55522155761719,+16106480707,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.churchroadpantry.org/
chester-pa-overture-2624ff17,USH Communities,shelter,"715 S New St, West Chester",39.95001220703125,-75.6025390625,+16104304988,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ushcommunities.org/
chester-pa-overture-327dfb8f,Merakey,shelter,"Blackhorse Hill Rd 1400, Coatesville",39.99806213378906,-75.79578399658203,6103801285,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.merakey.org/
chester-pa-overture-c5eb88a8,St Mary's Franciscan Shelter,shelter,"209 Emmett St, Phoenixville",40.14113998413086,-75.51661682128906,+16109333097,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://smfs.start.page/
chester-pa-overture-ff85cf14,Friends Association For Care And Protection Of Children,shelter,"113 W Chestnut St, West Chester",39.960933685302734,-75.60778045654297,16104313598,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.friendsassoc.org
chester-pa-overture-ce80475a,Coventry Food Pantry,meal,"692 W Schuylkill Rd Unit 1, North Coventry Twp",40.233394622802734,-75.66806030273438,+16103265659,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
chester-pa-overture-c520b082,Chester County Food Bank,meal,"650 Pennsylvania Dr, Exton",40.064735412597656,-75.68546295166016,+16108736000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.chestercountyfoodbank.org/
chester-pa-overture-bca77be3,Family Promise Of Southern Chester County,shelter,"1156 W Baltimore Pike, Kennett Square",39.83781814575195,-75.74640655517578,6104440400,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familypromisescc.org/
chester-pa-overture-1ac9ec60,Oxford Area Neighborhood Services Center (NSC),meal,"35 N 3rd St, Oxford",39.78628921508789,-75.97845458984375,+16109328557,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.oxfordnsc.org/
chester-pa-overture-7ba4e39c,Cornerstone Christian Fellowship,meal,"426 W Gay St, West Chester",39.95756912231445,-75.61175537109375,+16104303508,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cornerstonewestchester.com/
chester-pa-overture-6f45e946,Code Blue Overnight Emergency Warming Center - Phoenixville,shelter,"Sacred Heart Church, 146 Church Street Lower Level of, Phoenixville",40.13263702392578,-75.51383972167969,+14843932583,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.annsheart.org/cerah
chester-pa-overture-5ababe69,Phoenixville Area Community Services,meal,"101 Buchanan St, Phoenixville",40.1304817199707,-75.5220718383789,+16109331105,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.pacsphx.org/
chester-pa-overture-bb9d05b8,Octorara Area Food Cupboard,meal,"714 Main St, Parkesburg",39.95933151245117,-75.927978515625,+16108574000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://octfood.com/
chester-pa-overture-328e8718,West Chester Food Cupboard,meal,"431 S Bolmar St, West Chester",39.95984649658203,-75.59131622314453,+16103443175,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://wcfood.org/
chester-pa-overture-beefba67,Honey Brook Food Pantry,meal,"5064 Horseshoe Pike, Honey Brook",40.099918365478516,-75.92378234863281,+16102736102,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://honeybrookfoodpantry.org/
chester-pa-overture-5a68bc8f,Safe Harbor of Chester County,shelter,"20 N Matlack St, West Chester",39.96138381958008,-75.60220336914062,+16106926550,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.safeharborofcc.org/
