id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
chittenden-vt-overture-e1fb728f,Vermont Campaign to End Childhood Hunger,meal,"180 Flynn Ave, Burlington",44.457275390625,-73.21980285644531,8028650255,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vtnohunger.org/
chittenden-vt-overture-bf897341,Anew Place,shelter,"165 Shelburne Rd, Burlington",44.46063232421875,-73.2086410522461,18025401095,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: anewplacevt.org
chittenden-vt-overture-9fa61bd7,North End Food Pantry,meal,"1416 North Ave, Burlington",44.5128173828125,-73.25260925292969,+18023990985,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://northendfoodpantry.org/
chittenden-vt-overture-4ac5285a,"Salvation Army, The-burlington -friendly Kitchen -soup Kitchen - Food Pantry",meal,"64 Main St, Burlington",44.47606658935547,-73.21684265136719,18028646991,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://nne.salvationarmy.org/portland-me
chittenden-vt-overture-258355ea,Colchester Food Shelf,meal,"245 Main St, Colchester",44.548789978027344,-73.1607666015625,+18028792444,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://colchesterfoodshelf.org/
chittenden-vt-overture-7fbb8dad,Richmond Food Shelf & Thrift Store,meal,"58 Bridge St, Richmond",44.40459060668945,-72.99376678466797,+18025784283,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.richmondfoodshelfvt.org/
chittenden-vt-overture-d6e7a192,Waystation,shelter,"187 Church St, Burlington",44.4749755859375,-73.21260070800781,18028627776,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://cotsonline.org
chittenden-vt-overture-d4cf9b49,South Burlington Food Shelf,meal,"356 Dorset St, South Burlington",44.45935821533203,-73.17963409423828,+18028585267,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://southburlingtonfoodshelf.org/
chittenden-vt-overture-090fd93b,Williston Community Food Shelf,meal,"400 Cornerstone Dr, Williston",44.447086334228516,-73.10252380371094,+18025780586,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Willistonfoodshelf.com/
chittenden-vt-overture-fe4d8ac6,Feeding Champlain Valley,meal,"228 N Winooski Ave, Burlington",44.48637008666992,-73.20946502685547,+18026587939,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.feedingchamplainvalley.org/
chittenden-vt-overture-148d5794,Aunt Dot's Place,meal,"51 Center Rd, Essex",44.51033401489258,-73.07360076904297,+18026625614,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.auntdotsplace.com/
chittenden-vt-overture-e4b0ce92,ANEW Place,shelter,"89 North St, Burlington",44.4844856262207,-73.21862030029297,+18028629879,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://anewplacevt.org/
