id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
coconino-az-overture-51720030,Saint Mary's Food Bank Alliance - Food Distribution Center,meal,"201 E Birch Ave, Flagstaff",35.19828414916992,-111.64567565917969,9287797066,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.firstfoodbank.org
coconino-az-overture-5a4cdeef,Flagstaff Shelter Services Inc,shelter,"4185 E Huntington Dr, Flagstaff",35.21610641479492,-111.58729553222656,19282252533,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.flagshelter.org
coconino-az-overture-e6441551,Saint Jude Food Bank,meal,"100 Aspen Dr, Tuba City",36.130889892578125,-111.24421691894531,+19282836886,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.paypal.com/donate/?hosted_button_id=B44JXVDNDKP8S
coconino-az-overture-031f35da,Flagstaff Family Food Center,meal,"3805 E Huntington Dr, Flagstaff",35.21355438232422,-111.59369659423828,+19285262211,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.northernarizonafoodbank.net
coconino-az-overture-a9115044,Inn Transitions Inc,shelter,"2140 E Route 66, Flagstaff",35.202880859375,-111.61658477783203,19287794141,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
coconino-az-overture-80502158,Hope Cottage,shelter,"2211 E Johnson Ave, Flagstaff",35.20256042480469,-111.61863708496094,+19287749270,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.womenshelters.org/det/az-hope_cottage
coconino-az-overture-18319bad,Dorsey Manor,shelter,"3 E Cottage Ave, Flagstaff",35.19558334350586,-111.64994049072266,+19282260334,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.srm-hc.org/dorsey-manor
coconino-az-overture-0248c982,Golden Rule Charities The Pantry,meal,"2573 E 7th Ave, Flagstaff",35.21104049682617,-111.61054229736328,19284405375,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.the-pantry.org
coconino-az-overture-b7aaf96b,Flagstaff Family Food Center,meal,"1903 N 2nd St, Flagstaff",35.20663833618164,-111.61608123779297,+19285262211,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://hotfood.org/
coconino-az-overture-d9540826,Circle of Page Banquet Food Pantry,meal,"801 Aqua Ave, Page",36.91070556640625,-111.45381164550781,+19286459533,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
