id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
collin-tx-overture-110a2135,St Vincent de Paul at St Michael Food Pantry,meal,"652 Redbud Blvd, McKinney",33.2028694152832,-96.63482666015625,+19725424667,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
collin-tx-overture-4e870759,The Samaritan Inn,shelter,"1514 N McDonald St, McKinney",33.21840286254883,-96.61223602294922,+19725425302,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.saminn.org/
collin-tx-overture-05cfef0e,Minnie's Food Pantry,meal,"661 18th St, Plano",33.02451705932617,-96.70675659179688,+19725960253,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://minniesfoodpantry.org/
collin-tx-overture-8023a56b,Amazing Grace Food Pantry,meal,"1711 Parker Rd, Wylie",33.04047393798828,-96.5510025024414,+19722927241,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.amazinggracepantry.org/
collin-tx-overture-b54e1404,AC Food Pantry & Thrift Store,meal,"1116 Dobie Dr, Plano",33.03517532348633,-96.69796752929688,+19725785730,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.acfoodpantry.org/
collin-tx-overture-7668958a,God's Pantry,meal,"1896 K Ave, Plano",33.02579116821289,-96.69822692871094,+19726339777,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://godspantryplano.org/
collin-tx-overture-2f79f389,Neighbors Nourishing Neighbors,meal,"474 N Hays Rd Ste E1, Prosper",33.24037551879883,-96.78412628173828,+14692968877,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://n3foodpantry.org
collin-tx-overture-2265e244,Allen Ministerial Alliance Food Pantry,meal,"1515 N Greenville Ave, Allen",33.12078094482422,-96.65178680419922,+12146442090,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://allenfoodpantry.org/
collin-tx-overture-6e611b1a,Neighbors Nourishing Neighbors Food Pantry - Food Distribution Center,meal,"241 S McKinley St, Prosper",33.23512649536133,-96.80573272705078,4692968877,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://bethlehemplace.org
collin-tx-overture-ac1fe15f,Frisco Family Services Food Pantry,meal,"9085 Dogwood St, Frisco",33.1507568359375,-96.8188705444336,+19723359495,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://friscofamilyservices.org/what_you_can_do/ffsfoodpantry/
collin-tx-overture-8a80d3b1,A Christian Food Pantry & Thrift Store,meal,"2010 G Ave, Plano",33.035491943359375,-96.69865417480469,9725785730,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://acfoodpantry.org/
collin-tx-overture-9a2f5060,Streetside Showers,shelter,"2411 Virginia Pkwy  Ste 5, McKinney",33.19838333129883,-96.64360046386719,2148423132,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.streetsideshowers.com
collin-tx-overture-cf70807c,Four Corners Outreach Alliance Food Pantry,meal,"15642 State Highway 160, Blue Ridge",33.38634490966797,-96.40125274658203,+19727525320,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://gofund.me/c3d8b736
