id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
contra-costa-ca-overture-68316e77,Richmond Emergency Food Pantry,meal,"2369 Barrett Ave, Richmond",37.938621520996094,-122.3458023071289,+15102359732,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.refp.org/
contra-costa-ca-overture-69d61182,Trinity Center Walnut Creek,shelter,"1271 S California Blvd, Walnut Creek",37.89453887939453,-122.06269836425781,+19259498712,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.trinitycenterwc.org/
contra-costa-ca-overture-2461c0df,Homeless Respite Care and Shelter Clinic,shelter,"2047 Arnold Industrial Way, Concord",38.00656509399414,-122.03811645507812,+19253136000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
contra-costa-ca-overture-2c4fca32,Share Food Pantry,meal,"3039 Willow Pass Rd, Concord",37.980777740478516,-122.0219955444336,19258274273,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.concordfcc.net
contra-costa-ca-overture-0896049a,Hope House,meal,"218 Pine St, Brentwood",37.935001373291016,-121.69599914550781,+19253829967,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://brentwoodumc.org/bcumc/hope_house_hours
contra-costa-ca-overture-6c2fd7d2,White Pony Express,meal,"2470 Bates Ave, Concord",38.01386260986328,-122.03137969970703,+19253220604,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.whiteponyexpress.org/
contra-costa-ca-overture-441cf905,Bay Area Rescue Mission,shelter,"200 Macdonald Ave, Richmond",37.93545150756836,-122.36758422851562,+15102154868,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.BayAreaRescue.org/info/
contra-costa-ca-overture-e77700b8,Bridge Of Hope,shelter,"2114 Macdonald Ave, Richmond",37.93552780151367,-122.34913635253906,15102154555,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
contra-costa-ca-overture-b19edea4,Shelter,shelter,"1391 Shell Ave, Martinez",38.012447357177734,-122.11800384521484,+19252286920,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.shelterinc.org/support/volunteer/opportunities.html
contra-costa-ca-overture-733f25de,Food Bank of Contra Costa and Solano,meal,"4010 Nelson Ave, Concord",38.00615310668945,-122.04651641845703,+18553093663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodbankccs.org
contra-costa-ca-overture-43405e35,El Monte Community Pantry,meal,"1400 Dina Dr, Concord",37.96782684326172,-122.01244354248047,+19258527548,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
contra-costa-ca-overture-053c8464,Love-A-Child Missions Homeless Recovery Shelter,shelter,"2279 Willow Pass Rd, Pittsburg",38.0264778137207,-121.93443298339844,+19256435170,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.loveachildmissions.org
contra-costa-ca-overture-0e463984,Contra Costa Interfaith Housing,shelter,"399 Taylor Blvd Ste 115, Pleasant Hill",37.960609436035156,-122.0722427368164,9259442244,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ccinterfaithhousing.org/
contra-costa-ca-overture-55d9670b,Shelter Inc,shelter,"1333 Willow Pass Rd Ste 206, Concord",37.96936798095703,-122.0520248413086,+19253350698,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.shelterinc.org/
contra-costa-ca-overture-7536a117,Hatlen Center For the Blind,meal,"2430 Road 20, San Pablo",37.96306610107422,-122.3421630859375,+15102344984,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://wayfinderfamily.org
contra-costa-ca-overture-1eed13b0,Friends Feeding Friends,meal,"Good Shepherd Lutheran Church, 4000 Clayton Rd, Concord",37.966766357421875,-122.00096130371094,+19256828410,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://gsconcord.com/give/
contra-costa-ca-overture-43ccd55b,"Humanity Way, Inc.",shelter,"1965 Colfax, Suite Ste 204, Concord",37.977928161621094,-122.03239440917969,9252474601,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://humanityway.org/
