id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
cook-il-overture-bdde26e8,Respond 702 North 16th Avenue Now,shelter,"1439 Emerald Ave, Chicago Heights",41.504764556884766,-87.63487243652344,17087554357,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://respondnow.org
cook-il-overture-6a5828db,Respond Now Sauk Village Food Pantry,meal,"21701 Torrence Ave, Sauk Village",41.494510650634766,-87.55789947509766,+17087554357,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.saukvillage.org
cook-il-overture-f3f31b67,Journeys | The Road Home,shelter,"1140 E Northwest Hwy, Palatine",42.09888458251953,-88.01507568359375,18479639163,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.journeystheroadhome.org
cook-il-overture-a4cc024b,Redeemer’s little free pantry,meal,"4955 158th St, Oak Forest",41.60466003417969,-87.74099731445312,+17085671039,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
cook-il-overture-31293cf9,Shelter Inc.,shelter,"3227 N Wilke Rd Suite 150, Arlington Heights",42.13407516479492,-88.00312042236328,+18472558060,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.shelter-inc.org/
cook-il-overture-9d38c3c5,The Pantry of Rich Township,meal,"22013 Governors Hwy, Richton Park",41.48931884765625,-87.71273040771484,+17087486722,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.richtownship.org/food-Pantry
cook-il-overture-3c7a9d08,Hattie B. Williams Food Pantry,meal,"5217 149th St, Oak Forest",41.62035369873047,-87.74873352050781,+17082259317,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
cook-il-overture-36f964c8,Northfield Township Ofc,meal,"1928 Lehigh Ave, Glenview",42.08982467651367,-87.81378173828125,+18477247055,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://twp.northfield.il.us
cook-il-overture-f98c01da,Stock the Shelves,meal,"888 Tower Rd, Winnetka",42.11524963378906,-87.7371826171875,+18478943022,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.stocktheshelves.org/
cook-il-overture-09b3c98f,South Suburban Pads,shelter,"414 W Lincoln Hwy, Chicago Heights",41.505733489990234,-87.66050720214844,17083327700,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sspads.org
cook-il-overture-2c59370f,Little Fannie's Heavenly Housing,shelter,"19624 Governors Hwy, Flossmoor",41.53236770629883,-87.6971435546875,+17087304468,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://littlefanniesheavenlyhousing.org/
cook-il-overture-28686e76,Helping Hands Outreach Services,meal,"19511Governors Highway Ste 106, Flossmoor",41.53452682495117,-87.69429779052734,3127888007,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.helpinghandsoutreachservice.org/
cook-il-overture-59fd2eef,Trinity Charities Inc. - Food Distribution Center,meal,"927 N Plum Grove Rd, Schaumburg",42.04606246948242,-88.05734252929688,18472644660,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.trinitycharitiesinc.org
cook-il-overture-bb74b3af,Faith Feeds,meal,"1585 N Rand Rd, Palatine",42.13768005371094,-88.01921844482422,+18479277377,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://faithfeedsfp.org/
cook-il-overture-f8cc5848,Bloom Township Food Pantry,meal,"425 S Halsted St, Chicago Heights",41.524112701416016,-87.63512420654297,+17085432555,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
cook-il-overture-20af4f50,Northfield Township Food Pantry,meal,"2550 Waukegan Rd #200, Glenview",42.101078033447266,-87.79932403564453,+18477248300,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://northfieldtownship.com/food-pantry/
cook-il-overture-6b4a8878,Bernadin Manor,shelter,"1700 Memorial Dr, Calumet City",41.620330810546875,-87.56639862060547,+17088321700,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.catholiccharities.net/GetHelp/OurServices/SeniorAffordableHousing.aspx
cook-il-overture-b0703ef5,C&W Foundation,meal,"1901 Church St, Evanston",42.04851150512695,-87.6991958618164,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://cwmarketandicecreamparlor.com/
