id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
cumberland-me-overture-938033d3,South Portland Food Cupboard,meal,"443 Western Ave, South Portland",43.642723083496094,-70.32884216308594,+12078740379,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.southportlandfoodcupboard.org/
cumberland-me-overture-5f3262ce,Clothes Closet & Food Pantry,meal,"377 Gray Rd, Windham",43.78031921386719,-70.41488647460938,+12078921931,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.windhammaine.us/Facilities/Facility/Details/Clothes-Closet-1
cumberland-me-overture-fa646eb2,Brunswick Gathering Place,shelter,"5 Tenney Way, Brunswick",43.91147994995117,-69.96807861328125,+12077290288,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://brunswickgatheringplace.org/
cumberland-me-overture-a2a14267,Harpswell Town Office-mobile Pantry,meal,"263 Mountain Rd, Harpswell",43.813934326171875,-69.94304656982422,12077252716,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.harpswell.maine.gov
cumberland-me-overture-1df64ec1,Wayside Food Programs,meal,"135 Walton St, Portland",43.67963790893555,-70.28636169433594,+12077754939,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.waysidemaine.org/
cumberland-me-overture-8ee6b33c,North Community Outreach Center,meal,"851 Lawrence Rd, Pownal",43.936588287353516,-70.1922607421875,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
cumberland-me-overture-f0b56254,Logan Place,shelter,"52 Frederic St, Portland",43.65251541137695,-70.2848892211914,+12078740077,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.preblestreet.org
cumberland-me-overture-3df7f426,City Of Portland Oxford Street Shelter,shelter,"203 Oxford St, Portland",43.6602783203125,-70.26022338867188,12077612072,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi
cumberland-me-overture-cf346608,Salvation Army Food Pantry - Food Distribution Center,meal,"297 Cumberland Ave, Portland",43.659263610839844,-70.25975036621094,12077746304,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://easternusa.salvationarmy.org/southern-new-england
cumberland-me-overture-685e1966,Freeport Community Services,meal,"53 Depot St, Freeport",43.85439682006836,-70.1046371459961,+12078653985,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fcsmaine.org/
cumberland-me-overture-41a1728a,Mid Coast Hunger Prevention Program,meal,"12 Tenney Way, Brunswick",43.91155242919922,-69.96873474121094,+12077252716,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mchpp.org/
cumberland-me-overture-66bbf85e,Standish Food Pantry,meal,"410 Northeast Rd, Standish",43.758548736572266,-70.52783966064453,+12073580359,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.paypal.com/fundraiser/charity/3698740
cumberland-me-overture-515fefef,Bread of Life Food Pantry,meal,"14 Lewiston Rd, Gray",43.89094161987305,-70.32743072509766,+12076571500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://crossroadsmaine.org/bolpantry
cumberland-me-overture-d7f98395,Locker Project,meal,"111 Wescott Rd  Rear Entrance, South Portland",43.62811279296875,-70.30379486083984,12078999540,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: mainelockerproject.org
