id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
dane-wi-overture-32825ce5,Badger Prairie Needs Network,meal,"1200 E Verona Ave, Verona",42.995357513427734,-89.51427459716797,+16088482499,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.BPNN.org/
dane-wi-overture-bf3b9e87,Good Shepherd Food Pantry & Garden,meal,"5701 Raymond Rd, Madison",43.03133773803711,-89.47772979736328,+16086404916,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://gslcwi.com/connect/care-assistance/food-pantry/
dane-wi-overture-c5a6bdad,Oregon Area Food Pantry,meal,"107 N Alpine Pkwy, Oregon",42.93075942993164,-89.40088653564453,+16082910709,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.amazon.com/hz/wishlist/ls/I9DX8FK14WMZ?ref_=wl_share
dane-wi-overture-825516f6,Extended Hands Pantry,meal,"6402 Schroeder Rd, Madison",43.04679870605469,-89.49229431152344,+16082192985,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.extendedhandspantry.org/
dane-wi-overture-270f36e6,The Road Home Dane County,shelter,"890 W Wingra Dr, Madison",43.049861907958984,-89.39774322509766,+16082947998,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.trhome.org/
dane-wi-overture-19d2136c,Waunakee Food Pantry,meal,"710 South St, Waunakee",43.18497085571289,-89.45585632324219,+16088504346,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://waunakeeweb.org/
dane-wi-overture-9304dc41,"Foundation For Rural Housing, Inc. - Food Distribution Center",meal,"4506 Regent St, Madison",43.06903076171875,-89.4533920288086,16082383448,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.wisconsinruralhousing.org
dane-wi-overture-a7d76518,Mazomanie Community Food Pantry - Christians in Action,meal,"9 Brodhead St, Mazomanie",43.17637634277344,-89.79376220703125,+16087954336,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
dane-wi-overture-9638c072,Stoughton Area Community Cupboard,meal,"1315 W South St, Stoughton",42.91465759277344,-89.2360610961914,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
dane-wi-overture-90d1f04e,Grace Food Pantry,meal,"116 W Washington Ave, Madison",43.073936462402344,-89.38615417480469,16082555147,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.gracechurchmadison.org
dane-wi-overture-7d1d2541,Safe Haven,shelter,"4006 Nakoosa Trail, Madison",43.10862350463867,-89.3157958984375,+16082419447,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.safehavenforcats.org
dane-wi-overture-9a54b244,Belleville Food Pantry,meal,"24 W Main St, Belleville",42.85951232910156,-89.53480529785156,+16084243341,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
dane-wi-overture-65d5c7af,Phos House,shelter,"602 Langdon St, Madison",43.07590103149414,-89.39557647705078,+16082550500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ywammadison.org/
dane-wi-overture-063705c0,The Beacon,shelter,"615 E Washington Ave, Madison",43.07866668701172,-89.37789154052734,+16088268040,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://thebeaconhelps.org/
dane-wi-overture-564c53cc,Food Pantry,meal,"5404 Anthony St, McFarland",43.014015197753906,-89.28824615478516,+16086580927,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://mcfarlandfoodpantry.org/
dane-wi-overture-a08506bd,The River Food Pantry,meal,"3301 Packers Ave, Madison",43.13043975830078,-89.35462951660156,+16084428815,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.riverfoodpantry.org/
dane-wi-overture-922aacbf,Hypatia Cooperative House,shelter,"411 N Pinckney St, Madison",43.07871627807617,-89.38678741455078,+16082562667,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.madisoncommunity.coop/property/hypatia
dane-wi-overture-753ad5cd,Neighbors Helping Neighbors Food Closet,meal,"102 E Lincoln St, Mt Horeb",43.007076263427734,-89.73905944824219,+16084376114,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.mthorebneighbors.org/
dane-wi-overture-42316d75,St. Stephen's Food Pantry And Secondhand Closet,meal,"5700 Pheasant Hill Rd, Monona",43.057945251464844,-89.33023071289062,16084411123,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ststephensmonona.org
