id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
dauphin-pa-overture-eb01badc,Housing Authority County Dauphin,shelter,"15 S 2nd St, Lykens",40.56650161743164,-76.7131576538086,+17174537131,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
dauphin-pa-overture-59d40119,Shalom House,shelter,"9 S 15th St, Harrisburg",40.26637268066406,-76.86654663085938,+17172323482,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://shalomhouse.net/about1
dauphin-pa-overture-cd236c37,Harrisburg Housing Authority-F,shelter,"2101 N Front St, Harrisburg",40.27827835083008,-76.89945220947266,+17172575420,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.harrisburghousing.org/
dauphin-pa-overture-316dd97c,Manna Food Pantry,meal,"56 Banks St, Penbrook",40.27756881713867,-76.8486099243164,+17176025835,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://penbrookucc.org/home/?page_id=268
dauphin-pa-overture-3dbba321,Housing Authority Harrisburg,shelter,"1260 Oyler Rd, Harrisburg",40.24821853637695,-76.86293029785156,+17172342036,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
dauphin-pa-overture-5319e225,Bethesda Mission Men's Shelter,shelter,"611 Reily St, Harrisburg",40.27310562133789,-76.88591766357422,17172574440,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.bethesdamission.org
dauphin-pa-overture-a4829b15,Central Pennsylvania Food Bank,meal,"3908 Corey Rd, Harrisburg",40.27366638183594,-76.8222885131836,+17175641700,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.centralpafoodbank.org/
dauphin-pa-overture-f8eb2384,Tri County Housing,shelter,"201 N Front St, Harrisburg",40.26011276245117,-76.88517761230469,+17172313604,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://TriCoHousing.com/
dauphin-pa-overture-a354e618,Pa Dept Of Health Wic Program - Food Distribution Center,meal,"200 N 3rd St  Fl 5b, Harrisburg",40.26185607910156,-76.8830337524414,18009429467,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.health.pa.gov/pages/default.aspx
dauphin-pa-overture-3ccd10a6,Brethren Housing Association,shelter,"219 Hummel St, Harrisburg",40.26237106323242,-76.86986541748047,+17172336016,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bha-pa.org/
dauphin-pa-overture-c46fc99d,Susquehanna Harbor Safe Haven,shelter,"1805 N 12th St, Harrisburg",40.28022766113281,-76.87834930419922,+17172325029,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.redevelophbg.org/projects/safe_haven.php
dauphin-pa-overture-d4f2fe4c,The Harrisburg Area Food Pantry - HAFP,meal,"Camp Curtin YMCA, 2135 N 6th St, Harrisburg",40.28193283081055,-76.89075469970703,+17172336889,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hfoodpantry.org/
dauphin-pa-overture-a55b80f3,Hershey Food Bank And Community Outreach,meal,"120 E Derry Rd, Hershey",40.29045486450195,-76.6490478515625,17175203143,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
dauphin-pa-overture-5de69715,Gemmas Angels LTD,shelter,"15 E Main St #25, Hershey",40.29074478149414,-76.68086242675781,7172980150,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.gemmasangels.org/
dauphin-pa-overture-d32638fd,Midwest Food Bank Pennsylvania,meal,"2700 Commerce Dr, Middletown",40.21950149536133,-76.77774047851562,17176148110,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.midwestfoodbank.org
dauphin-pa-overture-836e6576,Downtown Daily Bread,shelter,"234 South St, Harrisburg",40.26310729980469,-76.88499450683594,+17172384717,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.downtowndailybread.org/
