id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
delaware-pa-overture-01aa7c0f,Family Management Center Shelter,shelter,"229 Norris St, Chester",39.83912658691406,-75.37569427490234,+16108724070,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://caadc.org
delaware-pa-overture-cc07d491,Chester Housing,shelter,"1350 W 9th St, Chester",39.84477615356445,-75.3803482055664,+16108762791,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.chesterha.org/index.cfm
delaware-pa-overture-601a248d,Trinity Transitional House Incorporated,shelter,"100 Springbrooke Blvd  Ste V206, Aston",39.85226058959961,-75.428466796875,16102735850,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.trinitytransitionalhouseinc.com
delaware-pa-overture-24d660a2,Loaves and Fishes Food Pantry,meal,"703 Lincoln Ave, Prospect Park",39.883644104003906,-75.30680084228516,+16105329000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.delcoloavesandfishes.org/
delaware-pa-overture-17eb16ac,Lifewerks,meal,"28 Walnut Rd, Wallingford",39.87699508666992,-75.36773681640625,+16108723344,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lifewerks.org/
delaware-pa-overture-544cef74,Loaves of Love  Food Pantry,meal,"3720 Foulk Rd, Garnet Valley",39.838138580322266,-75.4951400756836,+16104851600,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
delaware-pa-overture-3fb9cd41,Media Food Bank @ First Church,meal,"entrance on Baker Street at rear of First Church Media, 350 W State St, Media",39.91812515258789,-75.39472961425781,+14843522802,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.mediafoodbank.org/
delaware-pa-overture-9aca97cc,St. Katharine Drexel Food Pantry & Clothing Cupboard,meal,"1408 W 2nd St, Chester",39.8387336730957,-75.37564086914062,+14844905079,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.stkatharinedrexelpantry.org/
delaware-pa-overture-9e57a20d,Providence House,shelter,"2300 Providence Ave, Chester",39.86787414550781,-75.3625717163086,+16108762403,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.hhinc.org
delaware-pa-overture-01d6003b,Trainer Food Pantry,meal,"824 Main St, Trainer",39.82973098754883,-75.40785217285156,+16104973838,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
