id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
des-moines-overture-baa671db,Pella Community Food Shelf,meal,"1111 W 16th St, Pella",41.41063690185547,-92.95308685302734,+16417801779,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://pellacommunityfoodshelf.com/
des-moines-overture-5ef92bb8,YMCA Supportive Housing Campus,shelter,"2 SW 9th St, Des Moines",41.582584381103516,-93.62783813476562,+15152882424,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.dmymca.org/locations/supportive-housing-campus
des-moines-overture-96718625,Urbandale Food Pantry,meal,"7901 Douglas Ave, Urbandale",41.629520416259766,-93.72715759277344,+15152516688,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hhs.iowa.gov/assistance-programs/food-assistance/emergency-food
des-moines-overture-5a029fdf,Central Iowa Shelter and Services,shelter,"1420 Mulberry St, Des Moines",41.58268356323242,-93.63446044921875,+15152845719,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.centraliowashelter.org/
des-moines-overture-49627500,St. Joseph Emergency Family Shelter,shelter,"1535 11th St, Des Moines",41.60710525512695,-93.63152313232422,+15152821235,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.catholiccharitiesdm.org
des-moines-overture-9ff1163f,Grimes Storehouse Food Pantry,meal,"112 NE Ewing St, Grimes",41.68907165527344,-93.79377746582031,+15159864191,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hhs.iowa.gov/assistance-programs/food-assistance/emergency-food
des-moines-overture-4ab02e57,Adel Good Samaritan Food Pantry,meal,"215 N 11th St, Adel",41.61906433105469,-94.02244567871094,+15154783760,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://adelfoodpantry.com/
des-moines-overture-c955ae75,Dallas Center Food Pantry,meal,"1504 Walnut St, Dallas Center",41.68408966064453,-93.96330261230469,+15154786744,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hungerfreedallascounty.org/find-food-dallas-county-iowa.html
des-moines-overture-e2df9a96,Perry Emergency Food Pantry,meal,"3112 Willis Ave, Perry",41.83859634399414,-94.07572174072266,+15155702975,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://perryfoodpantry.org/
des-moines-overture-d504f6ba,Holy Trinity Food Pantry,meal,"517 SW Des Moines St, Ankeny",41.726585388183594,-93.61182403564453,+15159644348,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.holytrinityankeny.org
des-moines-overture-15f4896c,PCM Food Pantry,meal,"115 S Main St, Monroe",41.520938873291016,-93.10067749023438,+16412592657,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
des-moines-overture-112ca729,Anawim Housing,shelter,"2024 Forest Ave Suite 101, Des Moines",41.603912353515625,-93.64490509033203,+15152448308,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.anawimhousing.org/
des-moines-overture-e7311de7,New Opportunities Guthrie County Family Development Center - Food Distribution Center,meal,"400 State St, Guthrie Center",41.67704772949219,-94.50325775146484,+16417473845,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.newopp.org
des-moines-overture-6ae600db,Clive Community Services,meal,"2190 NW 82nd St Ste A, Clive",41.61381530761719,-93.73226165771484,+15152578550,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.clivecommunityservices.com/
des-moines-overture-0b3bde41,The Bond Of Unity,meal,"530 NE 46th Ave, Des Moines",41.64431381225586,-93.61237335205078,+15154479203,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
des-moines-overture-6f715ba2,Food Bank of Iowa,meal,"2220 E 17th St, Des Moines",41.61427307128906,-93.59217834472656,+15155640330,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://mtr.bio/foodbankofiowa
des-moines-overture-4b4e39ec,Iglesia Del Nazareno Espiritu Y Verdad Food Pantry,meal,"1451 E 25th St, Des Moines",41.605960845947266,-93.57038116455078,+15152185696,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://iglesiadesmoines.com
des-moines-overture-edff517e,East Jasper Christian Food Pantry,meal,"423 2nd St, Kellogg",41.71910858154297,-92.90750122070312,+16415944483,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
des-moines-overture-8e55279d,Around Town Mobile Food Pantry,meal,"1005 Grand Ave, West Des Moines",41.58295822143555,-93.7164535522461,+15156355480,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: imsda.org
des-moines-overture-e9630eec,Norwalk Area Food Pantry,meal,"4380 Wakonda Dr, Norwalk",41.50010299682617,-93.67510223388672,+15152855965,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.newlifenorwalk.org/norwalk-area-food-pantry.html
des-moines-overture-0ec48cf5,Iowa Homeless Youth Center,shelter,"612 Locust St, Des Moines",41.58640670776367,-93.6256332397461,+15158832379,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/iowahomelessyouthcenters
des-moines-overture-f030a4d6,DMARC,shelter,"100 Army Post Rd, Des Moines",41.5257568359375,-93.61691284179688,+15152776969,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.dmarcunited.org/
des-moines-overture-19d32acf,Hope Ministries,shelter,"6701 SW 9th St, Des Moines",41.523109436035156,-93.62515258789062,+15159740545,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hopeministries.com
des-moines-overture-1a803d65,The Food Pantry,meal,"108 N Jefferson Way, Indianola",41.36112976074219,-93.55764770507812,+15159629099,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hhs.iowa.gov/assistance-programs/food-assistance/emergency-food
des-moines-overture-4fa66799,Necessity Pantry,meal,"115 N Howard St, Indianola",41.36091995239258,-93.56195831298828,+15152104863,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
des-moines-overture-04c9423a,Eat Greater Des Moines,meal,"501 SW 7th St G, Des Moines",41.57795333862305,-93.62207794189453,+15152078908,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.eatgreaterdesmoines.org/
des-moines-overture-a7ed57ec,"Little Free 515 Pantry - Beaverdale, IA",meal,"3111 Hickman Rd, Des Moines",41.61524963378906,-93.65982818603516,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://amzn.to/2DKCscU
des-moines-overture-de552fe7,Helping Hands Food Pantry,meal,"110 W Main St, Knoxville",41.318790435791016,-93.0994873046875,+16418426933,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://countrysidecares.com
des-moines-overture-ee3d6584,Hope Ministries,shelter,"5075 E University Ave Ste B, Pleasant Hill",41.5999641418457,-93.51456451416016,+15152657272,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://hopeministries.com
des-moines-overture-6df4b5d3,New Opportunities - Food Pantry,meal,"2002 State St, Guthrie Center",41.67912292480469,-94.48716735839844,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.newopp.org
des-moines-overture-7a96cf3d,Knock And Drop-latino Food Pantry,meal,"4801 Franklin Ave, Des Moines",41.61221694946289,-93.68392944335938,+15154436349,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://knockanddropiowa.org
des-moines-overture-57f4fd18,Save Our Sons,meal,"100 E Euclid Ave Ste 131, Des Moines",41.628475189208984,-93.61865997314453,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://helpsaveoursons.com
