id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
douglas-ne-overture-921d1d61,Catholic Charities St. Martin de Porres Center,meal,"2111 Emmet St, Omaha",41.28955841064453,-95.94430541992188,+14029394684,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.catholiccharitiesusa.org
douglas-ne-overture-945b5604,Omaha Housing Authority Property Locations,shelter,"5900 Northwest Radial Hwy, Omaha",41.28697204589844,-96.0042724609375,+14024443265,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
douglas-ne-overture-280ebead,Saint Peter's Food Pantry - Food Distribution Center,shelter,"723 S 27th St, Omaha",41.2528190612793,-95.95169067382812,+14023500888,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.stpeterchurch.net/
douglas-ne-overture-e49bc4fd,Food Bank For The Heartland,meal,"4645 S 84th St, Omaha",41.213768005371094,-96.04192352294922,+14023311213,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.FoodBankHeartland.org/
douglas-ne-overture-91cdd2a1,Stephen Center,shelter,"2723 Q St, Omaha",41.205474853515625,-95.9540786743164,+14027310238,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.amazon.com/registries/gl/guest-view/31F81RXQFE7ZW
douglas-ne-overture-62b7be6d,New Visions Homeless Services,shelter,"1425 N 18th St, Omaha",41.272483825683594,-95.93938446044922,+17122563940,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
douglas-ne-overture-e5835ab5,Omaha Housing Authority Public Housing & Section,shelter,"3005 Emmet St, Omaha",41.28925323486328,-95.95700073242188,+14024444200,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ohauthority.org/section-8-housing/application-process
douglas-ne-overture-f565387d,Food Bank for the Heartland,meal,"10525 J St, Omaha",41.21421813964844,-96.07780456542969,4023311213,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://foodbankheartland.org/
douglas-ne-overture-628bf8d9,One14 Center Pantry,meal,"2617 S 114th St, Omaha",41.23503494262695,-96.09077453613281,+14023334444,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.lcm.church/pantry
douglas-ne-overture-b8934649,Fricke Episcopal Community Ministry,meal,"113 N 18th St, Omaha",41.26039123535156,-95.93959045410156,+14023427010,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://shareomaha.org/nonprofit/fricke-episcopal-food-ministry
douglas-ne-overture-2f081127,"United Methodist Ministries, Missouri River District - Food Distribution Center",meal,"2665 Farnam St, Omaha",41.25750732421875,-95.9517593383789,4026500426,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: bigmuddyumc.org
douglas-ne-overture-9049e531,The Salvation Army Burrows Center,shelter,"6101 Northwest Radial Hwy, Omaha",41.286685943603516,-96.00761413574219,+14028986090,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.salvationarmyusa.org/
douglas-ne-overture-62cd191b,Heartland Hope Mission - West Omaha,meal,"15555 Industrial Rd, Omaha",41.23300552368164,-96.15473175048828,14027331904,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: heartlandhopemission.org
douglas-ne-overture-ddeb6da6,Siena Francis Miracle's Recovery Program,shelter,"1111 N 17th St, Omaha",41.271018981933594,-95.93805694580078,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sienafrancis.org/what-we-do/miracles-recovery-program.html
douglas-ne-overture-50d2d7ca,Heart Ministry Center,meal,"2222 Binney St Suite 100, Omaha",41.28628921508789,-95.94670867919922,+14024512321,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/heartministrycenter
douglas-ne-overture-8ecc033e,Salem Food Pantry,meal,"3120 Lake St, Omaha",41.28175354003906,-95.9585189819336,+14025059973,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.salembc.org
douglas-ne-overture-627681b2,Living Hope Food Pantry - Food Distribution Center,meal,"6001 Fontenelle Blvd, Omaha",41.3133544921875,-95.96722412109375,14026147452,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: fumcomaha.org
