id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
dupage-il-overture-a243c913,Loaves & Fishes Community Services,meal,"580 Exchange Ct, Aurora",41.767845153808594,-88.22382354736328,+16303553663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.loavesandfishesco.org
dupage-il-overture-73ffabc7,Downers Grove Area FISH,meal,"4341 Saratoga Ave, Downers Grove",41.80775833129883,-88.0145263671875,+16309647776,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.downersgrovefish.org/
dupage-il-overture-8b1829d3,People's Resource Center,meal,"201 S Naperville Rd, Wheaton",41.86416244506836,-88.10272979736328,+16306825402,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.peoplesrc.org/
dupage-il-overture-8f3844f4,Glen Ellyn Food Pantry - Food Distribution Center,meal,"493 Forest Ave, Glen Ellyn",41.87757873535156,-88.06439971923828,6304698668,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://glenellynfoodpantry.org
dupage-il-overture-c810d3df,Addison Community Switchboard - Food Distribution Center,meal,"193 W Michael Ln, Addison",41.937313079833984,-87.9932861328125,6306282698,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.addisonpoliceillinois.org
dupage-il-overture-4de14606,Glen House Food Pantry,meal,"55 N. Park Blvd., Glen Ellyn",41.861392974853516,-88.06073760986328,+16304698668,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.glenellynfoodpantry.org/
dupage-il-overture-b6f2e01c,Interfaith Food Pantry,meal,"345 S President St, Carol Stream",41.894832611083984,-88.09136199951172,+16306656426,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://interfaithfoodpantry.org/
dupage-il-overture-396fd4c2,Roselle Community Food Pantry,meal,"425 W Irving Park Rd, Schaumburg",41.9879150390625,-88.0907211303711,+16305291309,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Rosellecommunityfoodpantry.com/
dupage-il-overture-dc000fbc,Itasca Food Pantry,meal,"336 W Center St, Itasca",41.97279739379883,-88.01776885986328,+16306079943,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.itascacares.org/pantry/
dupage-il-overture-e231043a,Neighborhood Food Pantries,meal,"123 Fremont St, West Chicago",41.88534164428711,-88.20504760742188,+16303757185,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.neighborhoodfp.org/our-pantry-locations
dupage-il-overture-69714088,Sunny Patch Community Farm,meal,"7361 Park Ave, Darien",41.754398345947266,-87.98120880126953,+16302720915,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.goodworxinc.org/sunny-patch-community-farm/
dupage-il-overture-523c6c96,Neighborhood Food Pantries,meal,"580 Kuhn Rd, Carol Stream",41.91697692871094,-88.14092254638672,+16306655188,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.neighborhoodfp.org/our-pantry-locations
dupage-il-overture-87c447c5,Neighborhood Food Pantries,meal,"1480 Bloomingdale Rd, Glendale Heights",41.913368225097656,-88.08255004882812,+16303154012,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.neighborhoodfp.org/our-pantry-locations
dupage-il-overture-77a442d3,Family Shelter Service Resale Shops,shelter,"1512 N Naper Blvd, Naperville",41.79796600341797,-88.11795043945312,+16309559599,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familyshelterservice.org/
dupage-il-overture-9000349d,Dupagepads Interim Housing Center,shelter,"1113 Butterfield Frontage Rd, Downers Grove",41.83363342285156,-88.0155029296875,16306823846,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: dupagepads.org
dupage-il-overture-da539d79,Wayne Township Food Pantry,meal,"27W031 North Ave, West Chicago",41.9063835144043,-88.14599609375,+16302317173,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://waynetwp-il.org/assistance/food
dupage-il-overture-2d4f8c8a,Reach Community Services,meal,"4324 Yackley Ave, Lisle",41.806365966796875,-88.09198760986328,+16309698274,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.reachcommunityservices.com/donate/
dupage-il-overture-92a7fd2c,The Sower's House,shelter,"1500 Ardmore Ave Apt 512, Villa Park",41.86189651489258,-87.97923278808594,+16307121677,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thesowershouse.org/
dupage-il-overture-5a10d494,Herrick Lake West Shelter,shelter,Warrenville,41.82731628417969,-88.14620208740234,+16309337248,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
dupage-il-overture-600b9161,"Loaves & Fishes Community Services, Naperville Market",meal,"1871 High Grove Ln, Naperville",41.7773323059082,-88.20198822021484,16303553663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.loaves-fishes.org
dupage-il-overture-37bbf380,Lisle Township Food Pantry,meal,"4711 Indiana Ave, Lisle",41.797401428222656,-88.09623718261719,+16309682087,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lisletownship.com/
dupage-il-overture-e7726bf2,Bridge Communities,shelter,"505 Crescent Blvd 2nd Fl, Glen Ellyn",41.8762321472168,-88.06722259521484,6305450610,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.bridgecommunities.org/
dupage-il-overture-99dfd38a,Neighborhood Food Pantries - Wayne Resurrection Catholic Church - Food Pantry,meal,"30W350 Army Trail Rd, Wayne",41.94771194458008,-88.21122741699219,16302892510,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: neighborhoodfp.org
dupage-il-overture-acded13d,Bensenville Wood Dale Food Pantry,meal,"192 S Center St, Bensenville",41.95430374145508,-87.9415054321289,16307669382,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bwdfp.org
dupage-il-overture-eaad871a,West Suburban Community Pantry,meal,"6809 Hobson Valley Dr, Woodridge",41.7628059387207,-88.06761932373047,+16305129921,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wscpantry.org/
dupage-il-overture-667f50d0,Bridge Communities Inc,shelter,"500 Roosevelt Rd, Glen Ellyn",41.85966110229492,-88.0677261352539,+16305450610,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bridgecommunities.org/
dupage-il-overture-445198e0,Community Housing Advocacy and Development - CHAD,shelter,"531 E Roosevelt Rd, Wheaton",41.85914611816406,-88.09847259521484,+16304564452,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.chadhousing.org/
dupage-il-overture-af00b157,Midwest Shelter for Homeless Veterans,shelter,"433 S Carlton Ave, Wheaton",41.86091232299805,-88.11607360839844,+16308718387,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.helpaveteran.org/
dupage-il-overture-584cc541,Midwest Shelter For Homeless Veterans,shelter,"119 N West St, Wheaton",41.86555099487305,-88.11125183105469,+16308718387,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.helpaveteran.org
dupage-il-overture-35113348,Neighborhood Food Pantries,meal,"250 N Gary Ave, Carol Stream",41.9088249206543,-88.12162780761719,+16306537116,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.neighborhoodfp.org/our-pantry-locations
dupage-il-overture-aa93a2ef,Addison Township Foundation,meal,"50 E Oak St, Addison",41.893577575683594,-87.97714233398438,16305308161,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
