id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
east-baton-rouge-la-overture-f13b19e4,Southeast Ministries Association,meal,"476 Sharp Rd, Baton Rouge",30.450836181640625,-91.0710678100586,+12259245122,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.southeastministries.org/
east-baton-rouge-la-overture-e95d1053,Red Stick Together,meal,"10230 Mollylea Dr, Baton Rouge",30.451759338378906,-91.07140350341797,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
east-baton-rouge-la-overture-93ce8a9e,Capital Area Alliance For the Homeless,shelter,"153 N 17th St, Baton Rouge",30.44862937927246,-91.17196655273438,+12253885800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.homelessinbr.org/
east-baton-rouge-la-overture-484c8a1d,Capital Area House of Hope,shelter,"646 N Foster Dr, Baton Rouge",30.454511642456055,-91.13877868652344,+12254211495,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://houseofhopebr.com/
east-baton-rouge-la-overture-66e9988d,Mission Heart,shelter,"9655 Perkins Rd, Baton Rouge",30.38028335571289,-91.09880065917969,+12252419810,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://MissionHeart.org/
east-baton-rouge-la-overture-53449d60,Mary's House of Bread,meal,"11558 Plank Rd, Baton Rouge",30.550382614135742,-91.13514709472656,+12257744506,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://paypal.com/us/fundraiser/charity/1908364
east-baton-rouge-la-overture-0da6fc25,Streams Of Life,meal,"8852 Greenwell Springs Rd, Baton Rouge",30.482202529907227,-91.09317016601562,12257718830,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
east-baton-rouge-la-overture-878a3cf6,Zachary Food Pantry,meal,"5640 Rollins Rd, Zachary",30.658679962158203,-91.15724182128906,+12256544028,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.cityofzachary.org/
east-baton-rouge-la-overture-9501437a,Ebr Lotus Food Pantry,meal,"1701 Main St, Baton Rouge",30.45219612121582,-91.17170715332031,12259238000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: ebrcoa.org
east-baton-rouge-la-overture-da0fef3c,House of roses,shelter,"5685 N Foster Dr, Baton Rouge",30.501873016357422,-91.14143371582031,+12254360967,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
east-baton-rouge-la-overture-f52528a1,Greater Baton Rouge Food Bank,meal,"10600 S Choctaw Dr, Baton Rouge",30.473251342773438,-91.06575775146484,+12253599940,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://brfoodbank.org/give-money/?form=template
