id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
el-paso-co-overture-4290bd51,Westside Community Center Pantry- Food Pantry,meal,"1628 W Bijou St, Colorado Springs",38.84295654296875,-104.84819030761719,17193890759,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://westsidecares.org
el-paso-co-overture-6bafbdf4,Solid Rock Community Food Bank,meal,"3219 S Academy Blvd, Colorado Springs",38.78544998168945,-104.7560043334961,17199858935,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.solidrockcdc.com
el-paso-co-overture-f65dca7d,Ithaka,shelter,"321 Mesa Rd, Colorado Springs",38.8459587097168,-104.83172607421875,+17195781629,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://ithakahousing.org/
el-paso-co-overture-2f7a9ce6,Grace Church Of Nazarene Food Pantry - Food Distribution Center,meal,"1615 E Cheyenne Rd, Colorado Springs",38.80406951904297,-104.80297088623047,17192294847,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: csgrace.org
el-paso-co-overture-88de492d,Springs Food Pantry,meal,"755 Citadel Dr W, Colorado Springs",38.8440055847168,-104.76490020751953,+17196529415,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://ppay.co/kMP30_Dk7Ig
el-paso-co-overture-7171fbb7,Fresh Start Center,meal,"7375 Adventure Way, Colorado Springs",38.940162658691406,-104.69070434570312,+17194953123,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://freshstartcenter.com/
el-paso-co-overture-06a1e465,Springs Rescue Mission,shelter,"5 W Las Vegas St, Colorado Springs",38.81836700439453,-104.82575225830078,+17196321822,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.springsrescuemission.org/
el-paso-co-overture-05b5dc32,Eastern Plains Community Pantry,meal,"701 4th St, Calhan",39.03720474243164,-104.30059814453125,+17193473062,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.easternplainscommunitypantry.org/
el-paso-co-overture-0b43f67a,Warrior Warehouse,meal,Colorado Springs,38.74951171875,-104.79363250732422,+14026598755,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.redistributioncenter.org/
el-paso-co-overture-46105e26,Dream Centers,shelter,"11025 Voyager Pkwy, Colorado Springs",38.992706298828125,-104.79534912109375,+17192472007,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.dreamcenters.com/
el-paso-co-overture-1783a967,Catholic Charities Marian House and Hanifen Center,meal,"14 W Bijou St, Colorado Springs",38.83729553222656,-104.82656860351562,+17194757314,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ccharitiescc.org/
el-paso-co-overture-cb459fec,Connections 4 Life Center,meal,"501 E Iowa Ave, Fountain",38.68362808227539,-104.69520568847656,+17193879919,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.connections4lifecenter.org/
el-paso-co-overture-d0b48e84,Fishes and Loaves Food Pantry,shelter,"2221 N Wahsatch Ave, Colorado Springs",38.86501693725586,-104.81607055664062,+18179667939,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.crowdrise.com/redeemer-lutheran-church
el-paso-co-overture-d263e731,TESSA of Colorado Springs,shelter,"435 Gold Pass Heights, Colorado Springs",38.79328918457031,-104.81818389892578,+17196331462,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.tessacs.org/
