id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
el-paso-overture-f37b8660,Kelly Center for Hunger Relief,meal,"915 N Florence St, El Paso",31.766523361206055,-106.4887466430664,+19152617499,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.KellyFresh.org/
el-paso-overture-b1a4aa23,Magoffin Haven,shelter,"1307 Magoffin Ave, El Paso",31.76405143737793,-106.47478485107422,+19158381808,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.homelessopportunitycenter.org/
el-paso-overture-31481425,Reynolds Home,shelter,"8023 San Jose Rd, El Paso",31.72673797607422,-106.35167694091797,+19152742598,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.reynoldshome.org/
el-paso-overture-3184aa1d,El Pasoans Fighting Hunger Food Bank,meal,"9541 Plaza Cir, El Paso",31.670087814331055,-106.3236312866211,+19152980353,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://elpasoansfightinghunger.org/
el-paso-overture-cac6e95b,Rescue Mission Of El Paso,shelter,"221 N Lee St, El Paso",31.765356063842773,-106.4714126586914,+19155322575,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.rmelp.org
el-paso-overture-bf58025b,Opportunity Center for the Homeless,shelter,"1208 Myrtle Ave, El Paso",31.764169692993164,-106.47676849365234,+19155770069,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://homelessopportunitycenter.org/
el-paso-overture-26dacd06,Katie's Pantry,meal,"4801 Sun Valley Dr, El Paso",31.9129638671875,-106.43317413330078,+19154940456,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.katiesfoodpantry.com/
el-paso-overture-e70746bf,UTEP Food Pantry,meal,"University of Texas at El Paso, STUDENTS ONLY!!, 101 W Robinson Ave, El Paso",31.775379180908203,-106.5045166015625,+19157478053,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.utep.edu/student-affairs/foodpantry/
el-paso-overture-9ffd4d2c,YWCA El Paso For Women - Sara McKnight Transitional Living Center,shelter,"3700 Altura Ave, El Paso",31.79625129699707,-106.4491195678711,+19155662762,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ywca.org
el-paso-overture-39bef805,Dame La Mano Crisis Center,shelter,"1014 S Virginia St, El Paso",31.751230239868164,-106.47797393798828,+19154651207,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.damelamano.net/
