id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
erie-pa-overture-466fa459,The Upper Room of Erie,shelter,"1024 Peach St, Erie",42.12422561645508,-80.08383178710938,+18144596315,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.upperroomoferie.com/
erie-pa-overture-bb30f4a7,MACC Food Pantry,meal,"1012 E 28th St, Erie",42.11902618408203,-80.04953002929688,+18144554577,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.mcwerie.org/food-pantry-at-macc
erie-pa-overture-38ff2bd6,Second Harvest Food Bank,meal,"1507 Grimm Dr, Erie",42.1093864440918,-80.11268615722656,+18144593663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.eriefoodbank.org
erie-pa-overture-be561608,Erie City Mission Soup Kitchen,meal,"102 E 11th St, Erie",42.12533187866211,-80.08047485351562,18144524421,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://eriecitymission.org
erie-pa-overture-445b1e74,North East Comm Food Pantry,meal,"30 Bothel St, North East",42.2111930847168,-79.8317642211914,+18147259777,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.facebook.com/NorthEastFoodPantry
erie-pa-overture-5eb04f19,Kind Veg,meal,"Mailing Address:, 1401 State St No 1523, Erie",42.121543884277344,-80.07976531982422,+18145286408,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://kindveg.org/
erie-pa-overture-4cd961b6,Methodist Towers,shelter,"160 W 8th St, Erie",42.126380920410156,-80.08729553222656,+18144561783,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.methodisttowers.com
erie-pa-overture-cd8acb6f,Columbus Apartments,shelter,"655 W 16th St, Erie",42.113956451416016,-80.09371948242188,+18144554369,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.communityshelter.org
erie-pa-overture-14df0e1b,Community Shelter Services,shelter,"655 W 16th St, Erie",42.113975524902344,-80.09369659423828,+18144535937,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://communityshelter.org/
erie-pa-overture-08c6165f,Corry Area Food Pantry,meal,"1318 W Main St, Corry",41.91652297973633,-79.65496826171875,+18146647359,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.corryareafoodpantry.org/
erie-pa-overture-ac74ca45,The Refuge,shelter,"1027 E 26th St, Erie",42.120201110839844,-80.05016326904297,18144546088,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.therefuge.net
erie-pa-overture-5b3cda51,Community of Caring,shelter,"245 E 8th St, Erie",42.129356384277344,-80.0785140991211,+18144566661,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.cocerie.org/
erie-pa-overture-1e70889a,Erie City Mission New Life Center,shelter,"1017 French St, Erie",42.12547302246094,-80.08036804199219,+18144524421,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.eriecitymission.org/
erie-pa-overture-3b5c1294,Ella Cochran Food Pantry,meal,"837 Bartlett Rd, Harborcreek",42.17841339111328,-79.95340728759766,+18144809979,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
erie-pa-overture-a765fb1a,Mercy Center For Women,shelter,"1039 E 27th St, Erie",42.119728088378906,-80.0491714477539,+18144554577,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mcwerie.org/
