id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
essex-ma-overture-a26a4d91,Daybreak Shelter,shelter,"19 Winter St, Lawrence",42.70515060424805,-71.17049407958984,+19789754547,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://psychologicalcenter.com/our-programs/daybreak-shelter
essex-ma-overture-8ebc4a44,My Brother's Table,meal,"98 Willow St, Lynn",42.46494674682617,-70.94741821289062,+17815953224,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mybrotherstable.org/
essex-ma-overture-ef8215f4,River House Shelter,shelter,"56 River St, Beverly",42.54774475097656,-70.88606262207031,+19789211304,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.riverhousebeverly.org
essex-ma-overture-964b7c20,Ipswich Housing Authority,shelter,"1 Agawam Vlg, Ipswich",42.67092514038086,-70.8380355834961,+19783562860,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ipswichhousingauthority.com/
essex-ma-overture-192093e3,House of Peace,shelter,"1 High St, Ipswich",42.68376922607422,-70.83596801757812,+19783569395,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://houseofpeaceinc.org/
essex-ma-overture-51a2d43b,Phoenix Food Hub,meal,"8 Silsbee St, Lynn",42.46543502807617,-70.9423828125,+17815990110,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://phoenixfoodhub.org/
essex-ma-overture-e4e6d64a,The Salvation Army Lynn Corps Community Center,meal,"1 Franklin St, Lynn",42.464786529541016,-70.9526596069336,7815980673,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://salvationarmyma.org/lynn
essex-ma-overture-76af92db,Casa Nueva Vida,shelter,"57 Jackson St, Lawrence",42.71017074584961,-71.15739440917969,+19785575775,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.casanuevavida.org
essex-ma-overture-d651f1c7,Haven From Hunger,meal,"71 Wallis St, Peabody",42.529319763183594,-70.92340850830078,+19785311530,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.havenfromhunger.org
essex-ma-overture-b9b9ef86,Family Promise North Shore Boston,shelter,"35 Conant St, Beverly",42.57722473144531,-70.89585876464844,+19789220787,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familypromisensb.org/
essex-ma-overture-8ee52c2e,Habitat Plus,shelter,"520 Essex St, Lynn",42.46682357788086,-70.94828796386719,+17815998578,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://habitatplus.org/
essex-ma-overture-26d20895,Anchor Food Pantry,meal,"86 Burrill St, Swampscott",42.46989822387695,-70.9205322265625,+17814793080,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.anchorfoodpantry.org/
essex-ma-overture-6cad77f2,Pathways,shelter,"4 S Kimball St, Haverhill",42.77130889892578,-71.0737075805664,+19785216868,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://pathways-careers.com
essex-ma-overture-031d363d,Ellis Square Friends,meal,"2 Dane St, Beverly",42.55202865600586,-70.87834167480469,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=UX55FKMCXTYKU
essex-ma-overture-7a6f3f5d,Bread & Roses,meal,"58 Newbury St, Lawrence",42.709754943847656,-71.1557388305664,+19786818768,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://breadandroseskitchen.org/
essex-ma-overture-5d4211ca,Community Pantry at BVUC Andover,meal,"23 Clark Rd, Andover",42.63026809692383,-71.163818359375,+19785663287,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://app.aplos.com/aws/give/VillageFoodHub/
essex-ma-overture-4b6e7edd,Marblehead Food Pantry,meal,"80 Atlantic Ave, Marblehead",42.49649429321289,-70.85746765136719,+17816315335,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://marbleheadfoodpantry.org/
essex-ma-overture-c0b9232e,Jaclen Tower,shelter,"215 Rantoul St, Beverly",42.54888153076172,-70.88346099853516,+18332671059,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.jaclentowerbc.com/
essex-ma-overture-886cd63b,Acord Food Pantry,meal,"69 Willow St, South Hamilton",42.611045837402344,-70.8763427734375,+19784687424,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.acordfoodpantry.org/
