id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
fargo-overture-c0bf2483,Gladys Ray Shelter,shelter,"1519 1st Ave S, Fargo",46.87415313720703,-96.80513000488281,+17013640116,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.FargoCassPublicHealth.com/harmreduction
fargo-overture-437bc278,The Salvation Army - Fargo,meal,"304 Roberts St N, Fargo",46.87928771972656,-96.78945922851562,+17012325565,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://donate.salvationarmynorth.org/give/171131/#!/donation/checkout
fargo-overture-7309ef20,Pioneer Manor,shelter,"201 11th St N, Fargo",46.87879943847656,-96.79518127441406,+17012376355,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
fargo-overture-cdb69e62,Great Plains Food Bank,meal,"1720 3rd Ave N, Fargo",46.878902435302734,-96.8095703125,+17012326219,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.greatplainsfoodbank.org/
fargo-overture-e031c286,Dorothy Day Food Pantry,meal,"1308 Main Ave, Moorhead",46.873924255371094,-96.7589340209961,+12186567628,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fmddh.org
fargo-overture-e7dba512,Churches United for the Homeless,shelter,"1901 1st Ave N, Moorhead",46.875892639160156,-96.74900817871094,+12186567495,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://mailchi.mp/churches-united.org/newsletter-signup
fargo-overture-d2491ddd,YWCA Cass Clay,shelter,"3000 University Dr S, Fargo",46.83428955078125,-96.79779052734375,+17012323449,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ywcacassclay.org/
fargo-overture-79069404,The Arbors at McCormick Park,shelter,"618 23rd St S, Fargo",46.86800003051758,-96.81694793701172,+17012936014,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
fargo-overture-4f0cbda3,Emergency Food Pantry,meal,"1101 4th Ave N, Fargo",46.88081359863281,-96.79598999023438,+17012379337,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://emergencyfoodpantry.com/
fargo-overture-f20ba659,Seeds of Hope food pantry,meal,"14 Center Ave E, Dilworth",46.876731872558594,-96.70209503173828,+12182884300,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.destiny-outreach.org/seeds-of-hope-food-pantry
fargo-overture-b27cdf1f,Rural Cass County Emergency Food Pantry,meal,"602 1st St N, Casselton",46.90196228027344,-97.21267700195312,+17013472566,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ruralcassfoodpantry.org/
fargo-overture-b6b62aa2,West Fargo Eats.,meal,"1402 16th St E, West Fargo",46.85972213745117,-96.87418365478516,+17015320394,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://lcc-wf.com/west-fargo-eats/
fargo-overture-4ebf2049,LSS Meals,meal,"3101 S Frontage Rd, Moorhead",46.875099182128906,-96.73181915283203,+18004884146,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lssmn.org/meals
