id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
flathead-mt-overture-658712e4,Flathead Warming Center,shelter,"889 N Meridian Rd, Kalispell",48.20746994018555,-114.33014678955078,+14068853042,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.flatheadwarmingcenter.org/
flathead-mt-overture-653c5632,Flathead Youth Home,shelter,"825 E Oregon St, Kalispell",48.20621871948242,-114.30381774902344,+14067554622,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://youthhomesmt.org/flathead-youth-home/
flathead-mt-overture-3d8577c4,West Shore Food Bank,meal,"140 Bills Rd, Lakeside",48.02161407470703,-114.22721099853516,+14068442779,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.westshorefoodbank.com/
flathead-mt-overture-7f676ba4,Columbia Falls Food Bank,meal,"82 Railroad St, Columbia Falls",48.37910461425781,-114.1819839477539,+14068920241,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://mfbn.org/resource/columbia-falls-food-bank
flathead-mt-overture-a1253250,NW Montana Veterans Stand Down and Food Pantry,meal,"1349 US Highway 2 E, Kalispell",48.213462829589844,-114.27982330322266,+14067567304,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.veteransfoodpantry.org/
flathead-mt-overture-f220ec98,Flathead Food Bank,meal,"1203 U.S. Hwy 2 W Suite 2, Kalispell",48.200862884521484,-114.33441162109375,+14067523663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.every.org/flatheadfoodbank?theme_color=8bbd3e&method=card%2Cbank%2Cpaypal%2Cvenmo%2Cpay%2Ccrypto%2Cstocks%2Cdaf&utm_campaign=donate-link#/donate/card
flathead-mt-overture-8bf18a9a,Bigfork Food Bank,meal,"7535 MT Highway 35, Bigfork",48.09405517578125,-114.0877685546875,+14068372297,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://bigforkfoodbank.org/
flathead-mt-overture-dfe74c28,North Valley Food Bank,meal,"251 Flathead Ave, Whitefish",48.39876937866211,-114.33907318115234,+14068625863,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/northvalleyfoodbank?fbclid=PAAaaxfofRufa6GItrmdjhpku0fJXIYRLm5lraXNgh38t3jZlJb1WnAr3Gg7Q_aem_ATh1lMCGd13-FMdIesBL5F779ri-kLFo9d9sff7ejXYyvko0vs8OGWVPhWj2g8Cz23Q
flathead-mt-overture-8367200c,A Ray Of Hope,shelter,"46 5th Ave W, Kalispell",48.19667053222656,-114.32121276855469,14067554673,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://rayofhoperi.com
flathead-mt-overture-a116b1d9,Samaritan House,shelter,"124 9th Ave W, Kalispell",48.194923400878906,-114.32678985595703,+14062575801,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.samaritanhousemt.com/
