id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
frederick-md-overture-f4d44231,Brunswick Food Bank,meal,"601 E Potomac St, Brunswick",39.310855865478516,-77.61903381347656,+13018349718,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
frederick-md-overture-294541a3,Walkersville Food Bank,meal,"21 W Frederick St, Walkersville",39.48183059692383,-77.35081481933594,13018454229,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://gladevalley.org
frederick-md-overture-abd5861c,Alan P Linton Jr Emergency Shelter,shelter,"27 Degrange St, Frederick",39.41195297241211,-77.4180679321289,+13016312670,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://bsfred.org/
frederick-md-overture-a778388f,Religious Coalition For Emergency Human Needs,shelter,"27 Degrange St, Frederick",39.41188430786133,-77.41812133789062,13016312670,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://thereligiouscoalition.org
frederick-md-overture-57ea88a2,First Baptist Church Of Frederick - Food Distribution Center,meal,"7040 Bowers Rd, Frederick",39.43079376220703,-77.4787826538086,3014738283,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://fbcfred.brbachurches.com
frederick-md-overture-76973042,Middletown Valley Food Bank,meal,"301 W Main St, Middletown",39.44391632080078,-77.5489501953125,+13013713182,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://middletownvalleyfoodbank.com/
frederick-md-overture-45d1d1f4,Thurmont Food Bank,meal,"10 Frederick Rd, Thurmont",39.620975494384766,-77.41206359863281,+12402881865,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://thurmontfoodbank.com/
frederick-md-overture-d8699a14,Emmitsburg Food Bank,meal,"502 E Main St, Emmitsburg",39.703033447265625,-77.32032775878906,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
frederick-md-overture-41e660d7,Helping Hands and Caring Hearts,meal,"12428 Fingerboard Rd, Monrovia",39.3383674621582,-77.22901916503906,+12403886514,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.helpinghandsandcaringhearts.org/
frederick-md-overture-1ecfff92,Ensign Cowall Shelter,shelter,"Appalachian Trl, Smithsburg",39.63096237182617,-77.5556869506836,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
frederick-md-overture-f38a4e7c,Emergency Family Shelter,shelter,"7516 Hayward Rd, Frederick",39.454681396484375,-77.40508270263672,13016312670,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://thereligiouscoalition.org
frederick-md-overture-e18f1888,Food Bank,meal,"100 S Market St, Frederick",39.41181564331055,-77.41083526611328,+13012224445,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.foodbanking.org
frederick-md-overture-f83acc97,Frederick Community Action Agency - Food Distribution Center,meal,"100 S Market St, Frederick",39.41172409057617,-77.41104888916016,13016001506,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: cityoffrederick.com
