id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
fresno-ca-overture-ad4ae541,Fresno EOC Sanctuary Youth Shelter,shelter,"1545 N St, Fresno",36.74225997924805,-119.79241943359375,5594988543,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fresnoeoc.org/sanctuary-youth-shelter
fresno-ca-overture-84a22e81,Golden State Triage Center,shelter,"1415 W Olive Ave, Fresno",36.7571907043457,-119.82823181152344,15594428075,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.fresnohousing.org
fresno-ca-overture-c38dd86d,Butler's Pantry,meal,"3542 E Butler Ave, Fresno",36.72854232788086,-119.76498413085938,+15593750415,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.butlerpcg.org/butlers-pantry/
fresno-ca-overture-d46b0609,Central California Food Bank,meal,"4010 E Hardy Ave, Fresno",36.693485260009766,-119.75726318359375,+15592373663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ccfoodbank.org/
fresno-ca-overture-b2ce8a7b,Pinedale Good Neighbor Center,meal,"160 W Minarets Ave, Fresno",36.842891693115234,-119.7934799194336,+15594325208,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
fresno-ca-overture-d823e8c5,Blessing Box Of Clovis CA,meal,"1110 Clovis Ave, Clovis",36.81687927246094,-119.70059204101562,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
fresno-ca-overture-3d8b562b,Naomi's House,shelter,"445 F St #3410, Fresno",36.72529220581055,-119.78945922851562,+15594431531,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://naomishousefresno.org
fresno-ca-overture-45da2f1c,Parlier Migrant Center,shelter,"8800 S Academy Ave, Parlier",36.60778045654297,-119.5566635131836,+15596463653,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fresnohousing.org/quality-housing/properties/by-location/parlier-migrant-center
fresno-ca-overture-3e4ff0cf,Evangel Home Inc,shelter,"137 N Yosemite Ave, Fresno",36.744754791259766,-119.80183410644531,+15592644714,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.evangelhome.org/
fresno-ca-overture-f178c354,Fresno Mission,shelter,"263 G St, Fresno",36.723777770996094,-119.7861557006836,15592680839,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.fresnomission.org
fresno-ca-overture-64f68e56,Catholic Charities,meal,"149 N Fulton St, Fresno",36.74494552612305,-119.80069732666016,+15592370851,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/ccdof
fresno-ca-overture-25556ec4,Centers For Living,shelter,"335 E Gettysburg Ave, Fresno",36.80127716064453,-119.80763244628906,+15598092936,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.centersforliving.org/
fresno-ca-overture-3e850208,Fresno EOC Sanctuary Transitional Shelter,shelter,"1046 T St, Fresno",36.74187469482422,-119.78065490722656,5599311444,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fresnoeoc.org/transitional-shelter
fresno-ca-overture-3064ee74,Poverello House,shelter,"412 F St, Fresno",36.725242614746094,-119.78882598876953,+15594986988,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.poverellohouse.org/
fresno-ca-overture-0c9d6305,Bulldog Pantry,meal,"2311 E Shaw Ave, Fresno",36.808326721191406,-119.74730682373047,+15592249052,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://thebulldogpantry.org/
fresno-ca-overture-f73d4511,Map: Multi-agency Access Program,meal,"302 Fresno St Ste 102, Fresno",36.72366714477539,-119.8088150024414,+15595126777,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.mapconsultingllc.com
fresno-ca-overture-8f69e5f0,Community Food Bank,meal,"3403 E Central Ave, Fresno",36.67702865600586,-119.72880554199219,+15592373663,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: communityfoodbank.net
fresno-ca-overture-1011a629,Marjaree Mason Center,shelter,"255 W Bullard Ave, Fresno",36.82240676879883,-119.79563903808594,+15592374706,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://mmcenter.org/
