id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
grays-harbor-wa-overture-34d4b88b,Family Promise of Grays Harbor,shelter,"111 E 4th St, Aberdeen",46.97834396362305,-123.82133483886719,+13609863944,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familypromiseofgraysharbor.org/
grays-harbor-wa-overture-9d50008e,East Grays Harbor County Food Bank,meal,"106 W Main St, Elma",47.004573822021484,-123.40180969238281,+13605197878,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
grays-harbor-wa-overture-561858d7,Coastal Harvest Food Bank Distribution Center,shelter,"520 Tyler St, Hoquiam",46.98474884033203,-123.87907409667969,+13605326315,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.coastalharvest.us/
grays-harbor-wa-overture-7beac5fc,Union Gospel Mission,shelter,"405 E Heron St, Aberdeen",46.97536849975586,-123.8131103515625,+13605331064,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://ugmgraysharbor.org/
grays-harbor-wa-overture-6266c49a,Revival Of Grays Harbor,shelter,"115 W Heron St  # 101, Aberdeen",46.97282791137695,-123.81756591796875,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
grays-harbor-wa-overture-0acdadde,Ocean Shores Food Bank,meal,"846 Anchor Ave NW, Ocean Shores",47.01507568359375,-124.16533660888672,+13602892171,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.oceanshoresfoodbank.org/
grays-harbor-wa-overture-adbb56a6,Montesano Food Bank,meal,"213 Spruce Ave W, Montesano",46.9825553894043,-123.60255432128906,+13602495374,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
grays-harbor-wa-overture-7b05baa2,Twin Harbors Group Home Assoc,shelter,"1004 Arthur St, Aberdeen",46.98326873779297,-123.8121109008789,+13605334684,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://twin-harbors-group-home-assoc.hub.biz/
grays-harbor-wa-overture-8d1d55de,South Beach Food Bank,meal,"314 N Broadway St, Westport",46.88892364501953,-124.10653686523438,+13602681686,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://stchristopherwestport.org/south-beach-food-bank
grays-harbor-wa-overture-3ea31412,Aberdeen Community Food Bank,meal,"306 N I St, Aberdeen",46.97751235961914,-123.8194808959961,+13605331088,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://coastalcap.org/food-banks-in-grays-harbor-4
