id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
greater-bridgeport-ct-overture-bd33c0fa,Ct Food Bank,meal,"229 Mountain Grove St, Bridgeport",41.17033386230469,-73.21482849121094,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
greater-bridgeport-ct-overture-98269ad6,Monroe Food Pantry,meal,"980 Monroe Turnpike, Monroe",41.346744537353516,-73.19906616210938,+12034522817,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.monroect.org/content/343/351/387/1255/default.aspx
greater-bridgeport-ct-overture-67cc62bd,Trumbull Food Pantry,meal,"23 Priscilla Pl, Trumbull",41.239253997802734,-73.16218566894531,+12034525136,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.trumbull-ct.gov/310/Food-Pantry
greater-bridgeport-ct-overture-34747548,Feed The People Food Pantry,meal,"301 Bostwick Ave, Bridgeport",41.16155242919922,-73.21234130859375,+12032585403,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
greater-bridgeport-ct-overture-af7f29e9,Black Rock Food Pantry,meal,"2676 Fairfield Ave, Bridgeport",41.1591796875,-73.22518157958984,+12034343058,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://blackrockfoodpantry.com/
greater-bridgeport-ct-overture-b61efcc7,King's Pantry,meal,"30 Florence St, Bridgeport",41.183170318603516,-73.1556167602539,+12033359255,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
greater-bridgeport-ct-overture-9d4f66f6,Saint Stephen Food Pantry - Food Distribution Center,meal,"43 Madison Ave, Bridgeport",41.18580627441406,-73.1944351196289,12033679036,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.bridgeportct.gov
greater-bridgeport-ct-overture-021504cb,nOURish Center,meal,"2200 North Ave, Bridgeport",41.179866790771484,-73.21368408203125,+12033353107,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.nourishbpt.org/
greater-bridgeport-ct-overture-377a5935,Homes For the Brave,shelter,"655 Park Ave, Bridgeport",41.17068099975586,-73.19607543945312,+12033380669,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.homesforthebrave.org/
greater-bridgeport-ct-overture-2e2eaca0,Bishop Jean Williams Food Pantry,meal,"3160 Park Ave, Bridgeport",41.20014190673828,-73.22039031982422,12038730260,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.bridgeportct.gov
greater-bridgeport-ct-overture-62fefae4,Prospect House,shelter,"392 Prospect St, Bridgeport",41.17203903198242,-73.19596862792969,+12035769041,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.swchc.org
greater-bridgeport-ct-overture-d323240e,Operation Hope,shelter,"50 Nichols St, Fairfield",41.13935470581055,-73.25749206542969,12032542935,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.operationhopect.org
greater-bridgeport-ct-overture-5e3a5775,Cesar A Batalla-  Family Resource Center,meal,"606 Howard Ave, Bridgeport",41.1700325012207,-73.20731353759766,+12035798526,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bridgeportedu.com/
greater-bridgeport-ct-overture-fe6863a6,Bridgeport Rescue Mission,shelter,"1069 Connecticut Ave Building 2, Bridgeport",41.18360137939453,-73.15957641601562,+12033334087,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
