id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
greene-mo-overture-96ec8f89,Crosslines Food Pantry,meal,"615 N Glenstone Ave, Springfield",37.21338653564453,-93.26335144042969,4178690563,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.crosslines.org
greene-mo-overture-48d09526,Unity of Springfield - Crisis Cold Weather Shelter,shelter,"2214 E Seminole St, Springfield",37.17337417602539,-93.25390625,+14175017939,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://unityofspringfield.org/shelter/
greene-mo-overture-beb49ba5,Harmony House,shelter,"3404 E Ridgeview St, Springfield",37.1593017578125,-93.22584533691406,+14178377700,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/my_harmony_house
greene-mo-overture-7715d29c,Salvation Army Harbor House,shelter,"636 N Boonville Ave, Springfield",37.21455764770508,-93.29158782958984,+14178313371,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.salvationarmyusa.org/
greene-mo-overture-bb2d48a0,Ash Grove Food Pantry,meal,"121 W Main St, Ash Grove",37.315494537353516,-93.58556365966797,+14173794421,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
greene-mo-overture-23720af3,Eden Village,shelter,"2801 E Division St, Springfield",37.22478485107422,-93.23855590820312,+14178943972,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://lnk.bio/edenvillagespringfield
greene-mo-overture-ddadc6a1,Isabel's House Crisis Nursery,shelter,"2750 W Bennett St, Springfield",37.18973159790039,-93.33289337158203,+14178652273,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://bit.ly/m/IsabelsHouse
greene-mo-overture-927152a0,Eden Village,shelter,"3155 W Brower St, Springfield",37.217994689941406,-93.34198760986328,+14178941160,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
greene-mo-overture-202bb5fc,Southwest Missouri Indian Center - Food Distribution Center,meal,"543 S Scenic Ave, Springfield",37.20553970336914,-93.33084869384766,+14178699550,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://smic.square.site
greene-mo-overture-b86697d1,Well of Life Food Pantry,meal,"418 S Kimbrough Ave, Springfield",37.2061653137207,-93.28648376464844,+14178692865,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.welloflifefoodpantry.org
greene-mo-overture-e6a1bf00,Ozarks Food Harvest,meal,"2810 N Cedarbrook Ave, Springfield",37.24606704711914,-93.23627471923828,+14178653411,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://ozarksfoodharvest.org/?utm_source=facebook&utm_medium=facebook&utm_campaign=FB&utm_content=facebook
greene-mo-overture-f797d790,McClernon Villas,shelter,"1320 E Mcclernon St, Springfield",37.25380325317383,-93.2715835571289,+14174029008,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.thekitcheninc.org/our-programs/mcclernon-villas/
greene-mo-overture-9454af9b,Victory Shelter for Men,shelter,"1610 N Broadway Ave, Springfield",37.22794723510742,-93.30227661132812,4178642235,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.victorymission.com/services/get-help/
greene-mo-overture-00f347c3,Ashley House,shelter,"2740 E Pythian St, Springfield",37.216976165771484,-93.24002075195312,+14178629634,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://missouri.pchas.org
