id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
greenville-sc-overture-c2841660,Loaves and Fishes,meal,"37 Villa Rd #200, Greenville",34.86009216308594,-82.35381317138672,+18642323595,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://werescuefood.org/
greenville-sc-overture-0a56cc1a,Miracle Hill Shepherd's Gate,shelter,"11 Regency Hill Dr, Greenville",34.87363052368164,-82.35823059082031,+18642685589,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://miraclehill.org/how-we-help/homeless-shelters/shepherds-gate
greenville-sc-overture-22353783,Harvest Hope Food Bank,meal,"2818 White Horse Rd, Greenville",34.80998611450195,-82.43679809570312,+18642813995,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.harvesthope.org
greenville-sc-overture-e6672c1f,United Housing Connections,shelter,"135 Edinburgh Ct 100-B, Greenville",34.840599060058594,-82.36749267578125,8642410462,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://unitedhousingconnections.org/
greenville-sc-overture-f24a8245,Front Porch Housing,shelter,"1433 Cleveland St, Greenville",34.8223991394043,-82.37286376953125,+18642830865,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/frontporchhousing
greenville-sc-overture-08788989,South Greenville Food Bank,meal,"8649 Augusta Rd, Pelzer",34.67249298095703,-82.39778137207031,+18642033659,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
greenville-sc-overture-9899ccf4,Little free pantry golden strip,meal,"1800 W Georgia Rd, Simpsonville",34.710853576660156,-82.30667877197266,+18643672540,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
greenville-sc-overture-abe2ad20,Miracle Hill Rescue Mission,shelter,"575 W Washington St, Greenville",34.85353088378906,-82.40782165527344,+18642426933,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://miraclehill.org/how-we-help/homeless-shelters/greenville-rescue-mission
greenville-sc-overture-ed5e3049,Vision Educational Center,meal,"1809 Laurens Rd, Greenville",34.83994674682617,-82.35694122314453,18436273212,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.visionec.net
greenville-sc-overture-75901216,North Greenville Crisis Ministry,meal,"864 N Highway 25 Byp, Greenville",34.94358444213867,-82.44038391113281,+18648347342,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ngfcministry.org/
greenville-sc-overture-6ce15998,From God To You Ministry,shelter,"725 Keith Dr, Greenville",34.84516906738281,-82.3560562133789,+18645521430,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fromgodtoyou.org
greenville-sc-overture-b2d043fb,James Monroe Mission - Trinity United Methodist Church - Food Distribution Center,meal,"401 S Weston St, Fountain Inn",34.691532135009766,-82.19599151611328,18435235327,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://fitumc.org
