id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
guilford-nc-overture-d11a5c95,Helping Hands High Point,meal,"2301 S Main St, High Point",35.931976318359375,-79.98885345458984,+13368862327,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.helpinghandshighpoint.org/
guilford-nc-overture-aa11e72e,"Ward Street Community Resources, Inc.",meal,"1619 W Ward Ave, High Point",35.937347412109375,-80.02503967285156,13368886091,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://wardstreetcommunityresources.org
guilford-nc-overture-835cfe3f,Leslie's House,shelter,"851 W English Rd, High Point",35.95439529418945,-80.01480865478516,+13368841039,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wemhp.org
guilford-nc-overture-8109c8ac,Second Harvest Food Bank,meal,"2517 Phillips Ave, Greensboro",36.09618377685547,-79.74378967285156,3367845770,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://secondharvestnwnc.org/
guilford-nc-overture-6c66ce31,Spartan Open Pantry,meal,"509 Tate St, Greensboro",36.0659065246582,-79.80513763427734,+13363345119,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wesleyluther.org/sop
guilford-nc-overture-0e2205cc,Greensboro Urban Ministry,shelter,"305 W Gate City Blvd, Greensboro",36.064300537109375,-79.7941665649414,+13362715959,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.greensborourbanministry.org/
guilford-nc-overture-e07d1788,Partnership Village,shelter,"135 Greenbriar Rd, Greensboro",36.12755584716797,-79.79191589355469,+13362866401,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://greensborourbanministry.org/services/housing-assistance/partnership-village
guilford-nc-overture-67b873a3,Pathways Center,shelter,"3517 N Church St, Greensboro",36.12740707397461,-79.79039764404297,+13362715988,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.greensborourbanministry.org
guilford-nc-overture-fefef5c7,William Booth Garden Apartments,shelter,"123 SW Cloverleaf Pl, High Point",35.93107604980469,-79.99236297607422,+13368815450,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://salvationarmycarolinas.org
guilford-nc-overture-d15b9b62,Greensboro Housing Authority,shelter,"1906 Peale Ter, Greensboro",36.0435676574707,-79.85340118408203,+13367348023,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
guilford-nc-overture-46d2c851,Ict Food Bank,meal,"1203 Francis Daly Ct, Colfax",36.108890533447266,-79.986328125,13364025214,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ictfoodbank.org
guilford-nc-overture-90a092ab,St. Mary's House Episcopal Campus & Young Adult Ministry,shelter,"930 Walker Ave, Greensboro",36.068382263183594,-79.80480194091797,+13363345219,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.stmaryshouse.org/
guilford-nc-overture-0fa3f5f6,Aggie Source,meal,"205 Nocho St, Greensboro",36.07319641113281,-79.77694702148438,+13362854453,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ncat.edu/campus-life/student-affairs/aggie-source/index.php
guilford-nc-overture-4e7a73af,The Servant Center,shelter,"1915 Boulevard St, Greensboro",36.0418815612793,-79.85164642333984,+13362758585,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.theservantcenter.org/
guilford-nc-overture-beaf1470,Food For Thought Triad,meal,"2641 Randleman Rd, Greensboro",36.0262336730957,-79.80207061767578,3365546080,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
guilford-nc-overture-08803f5c,David Wilson Food Pantry,meal,"3304 Groometown Rd, Greensboro",36.02166748046875,-79.86660766601562,+13362990235,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.ourfathergso.com/
