id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
gwinnett-ga-overture-4a96d584,Feed My People,meal,"1557 Buford Dr Unit 492102, Lawrenceville",34.00808334350586,-83.98677062988281,+14789920002,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
gwinnett-ga-overture-a0d657ae,StreetWise Georgia,meal,"1770 Cedars Rd, Lawrenceville",33.980796813964844,-83.94908905029297,+16789859952,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://StreetWiseGeorgia.org/
gwinnett-ga-overture-e4119c64,Home of Hope at Gwinnett Children's Shelter,shelter,"3850b Tuggle Rd NE, Buford",34.10063171386719,-83.91381072998047,+16785468770,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.homeofhopegcs.org/
gwinnett-ga-overture-4490af59,Judy House Ministry,shelter,"1475 Buford Dr, Lawrenceville",34.00487518310547,-83.98665618896484,16787528731,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://judyhouse.org
gwinnett-ga-overture-ae217b65,You Don't Know My Story,meal,"2440 Wisteria Dr Unit 275, Snellville",33.85713195800781,-84.01153564453125,+14044876520,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ydkms.com
gwinnett-ga-overture-4b78ab0d,One Body Coalition Of Christ,meal,"2775 Cruse Rd Ste 202, Lawrenceville",33.938541412353516,-84.08741760253906,+17707651684,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://onebodycoc.net
gwinnett-ga-overture-25973784,"Lilburn Cooperative Ministry, Inc.",meal,"5329 Five Forks Trickum Rd SW, Lilburn",33.84383010864258,-84.12886047363281,17709318333,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lilburnco-op.org
gwinnett-ga-overture-df4b2ad4,International Housing Solutions,shelter,"115 E Main St Ste A1b, Buford",34.12097930908203,-84.0035400390625,+14706556627,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
gwinnett-ga-overture-9cf85369,A New Road To Life Transition Home,shelter,"2330 Scenic Hwy S, Snellville",33.85470199584961,-84.02127075195312,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
gwinnett-ga-overture-9356b49c,The Pantry at Hamilton Mill,meal,"1450 Pine Rd #1455, Dacula",34.05767059326172,-83.88777160644531,+17702718855,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://tphm.org/
gwinnett-ga-overture-52d6adc8,Peace-House Inc,meal,"2158 McDaniels Bridge Ct SW, Lilburn",33.842872619628906,-84.06201934814453,+14049933381,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/PeaceHouseLilburn
gwinnett-ga-overture-765fa30b,Community Food Center,meal,"1979 Parker Ct, Stone Mountain",33.82667922973633,-84.1065444946289,+16785535994,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.acfb.org/community-food-center
gwinnett-ga-overture-2e83819a,Lawrenceville Co-Op Ministry,meal,"52 Gwinnett Dr, Lawrenceville",33.94673538208008,-83.99656677246094,+17703397887,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lawrencevilleco-op.org/
gwinnett-ga-overture-32dc11a0,Man Up Mansion,shelter,"2730 Peachtree Industrial Blvd Ste 105, Duluth",34.02293395996094,-84.14396667480469,+14705450294,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
