id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
hamilton-tn-overture-0e06230f,Portland Street Community Corner,meal,"1710 Portland St, Chattanooga",35.05052947998047,-85.2702865600586,+14234020079,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.chattautisticpride.org/autistics-for-safe-food/
hamilton-tn-overture-021fa7a7,Foxwood Plaza,meal,"3209 Wilcox Blvd, Chattanooga",35.048683166503906,-85.24211883544922,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
hamilton-tn-overture-03983b70,Maclellan Shelter For Families,shelter,"717 E 11th St, Chattanooga",35.040748596191406,-85.30021667480469,14237564222,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.homelesschattanooga.org
hamilton-tn-overture-baa3a30a,Shepherd's Arms Rescue Mission,shelter,"4012 West Ave, Chattanooga",35.00677490234375,-85.31917572021484,14238218363,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
hamilton-tn-overture-13ad1d5c,Chattanooga Area Food Bank,meal,"2009 Curtain Pole Rd, Chattanooga",35.06238555908203,-85.27537536621094,+14236221800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.chattfoodbank.org/
hamilton-tn-overture-daeea66a,Red Bank Community Food Pantry,meal,"3800 Dayton Blvd, Chattanooga",35.117244720458984,-85.2897720336914,+14238772881,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://redbankfoodpantry.org/
hamilton-tn-overture-cdd2ceca,Soddy Daisy Food Bank,meal,"331 Durham St, Soddy-Daisy",35.2887077331543,-85.16294860839844,+14237603489,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.soddydaisyfoodbank.org/
hamilton-tn-overture-fa02b835,Brainerd Community Food Pantry,meal,"4315 Brainerd Rd, Chattanooga",35.01622009277344,-85.23527526855469,+14234975881,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://brainerdfoodpantry.com/
hamilton-tn-overture-497697fc,Doing What We Can Homeless Outreach,shelter,"4922 Brainerd Rd, Chattanooga",35.01226806640625,-85.22748565673828,4232503900,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.dwwcho.org/
hamilton-tn-overture-a599cd45,Chattanooga Area Food Bank Food Assistance,meal,"3209 Wilcox Blvd, Chattanooga",35.04851150512695,-85.24251556396484,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.chattfoodbank.org
hamilton-tn-overture-2fcc03dc,Food And Faith Initiative Of The Saint Andrews Center - Food Distribution Center,meal,"1908 Union Ave, Chattanooga",35.032142639160156,-85.27587127685547,16159338747,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.st-andrewscenter.org
hamilton-tn-overture-193bf561,Chattanooga Rescue Mission,shelter,"1512 S Holtzclaw Ave, Chattanooga",35.02781677246094,-85.28784942626953,+14237563126,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.chattanoogarescuemission.org
hamilton-tn-overture-ff1966b2,Heaven's Bounty Food Ministry,meal,"11302 1st St, Apison",35.02231979370117,-85.02469635009766,+14233227206,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
hamilton-tn-overture-28d5ab2d,Chattanooga Room In the Inn,shelter,"230 N Highland Park Ave, Chattanooga",35.04081726074219,-85.27848815917969,+14236246144,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.chattanoogaroomintheinn.com
hamilton-tn-overture-4651ba14,East Ridge Community Food Pantry,meal,"1601 Prater Rd, East Ridge",34.98823928833008,-85.21673583984375,+14237773148,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
