id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
hampden-ma-overture-8f6f2646,Our House,shelter,"710-712 Belmont Ave, Springfield",42.08496856689453,-72.5521240234375,+14133346661,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
hampden-ma-overture-cb1824c0,Kate's Kitchen,meal,"51 Hamilton St, Holyoke",42.198333740234375,-72.60696411132812,+14135369109,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.kates-kitchensf.com/index.html
hampden-ma-overture-38366cf7,Springfield Housing Authority,shelter,"85 William St, Springfield",42.09680938720703,-72.58473205566406,+14132098603,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
hampden-ma-overture-0d6e25ff,Springfield Rescue Mission,shelter,"148 Taylor St, Springfield",42.107398986816406,-72.58989715576172,+14137320516,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://springfieldrescuemission.org
hampden-ma-overture-13459ea3,Way Finders,shelter,"193 Chestnut St Ste 2, Holyoke",42.205257415771484,-72.6124267578125,4132331500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.wayfinders.org/
hampden-ma-overture-cb5c763d,East Longmeadow Council On Aging - Food Distribution Center,meal,"328 N Main St, East Longmeadow",42.07612228393555,-72.52295684814453,14135255436,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: eastlongmeadowma.gov
hampden-ma-overture-5b9d34bc,Food Bank of Western Ma,meal,"66 Industry Ave, Springfield",42.142242431640625,-72.54387664794922,+14133630272,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodbankwma.org
hampden-ma-overture-22c020c1,Margaret's Pantry,meal,"56 Cabot St, Holyoke",42.19919204711914,-72.60638427734375,+14135388026,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.provministries.org/contact
hampden-ma-overture-646b90d4,Wales Community Pantry,meal,"172 Palmer Rd, Brimfield",42.11688995361328,-72.23451232910156,+14132450055,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.walescommunitypantry.com/
hampden-ma-overture-ed1f2a8e,Samaritan Inn,shelter,"7 Free St, Westfield",42.12137222290039,-72.74629211425781,+14135683122,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8575
