id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
henderson-tx-overture-9c299ede,Faith In Action Outreach Malakoff,meal,"309 W Mitcham St, Malakoff",32.16925811767578,-96.01786041259766,+19034897500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fiaoutreach.org/
henderson-tx-overture-6331a751,The Shepherd’s Table of Cedar Creek Lake,meal,"615 Seven Points Blvd, Seven Points",32.3126220703125,-96.20716094970703,+19034329000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
henderson-tx-overture-49b931b7,Community Care Pantry,meal,"1200 E Corsicana St, Athens",32.199214935302734,-95.8342056274414,19036775550,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.easttexasfoodbank.org
henderson-tx-overture-79553db7,In His Hands Children's Home,shelter,"302 Lawrence St, Trinidad",32.14485168457031,-96.08841705322266,+19037782575,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.paypal.com/donate/?hosted_button_id=AMG2W953BTEQN
henderson-tx-overture-db0b43aa,Henderson County Food Pantry,meal,"715 E Corsicana St, Athens",32.20429992675781,-95.845458984375,+19036771600,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.dshs.state.tx.us
henderson-tx-overture-d7ac9a24,Love in Action Henderson County Homeless Ministry,shelter,"501 Maple St, Athens",32.210792541503906,-95.87027740478516,+19039045131,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.loveinactionhc.com/
henderson-tx-overture-065ecd46,Community Food Pantry in Tool,meal,"100 Old Indian Trail, Tool",32.28114318847656,-96.1786880493164,+19034323003,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodpantryintool.org/
henderson-tx-overture-71e2caa6,Christian Life Center Food Pantry,meal,"2611 W Main St, Gun Barrel City",32.330833435058594,-96.15475463867188,+19038801099,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.christianlifecenter.tv
henderson-tx-overture-55d0c06b,Murchison Food Pantry,meal,"9623 FM-773, Murchison",32.27993392944336,-95.75160217285156,+19034693704,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
henderson-tx-overture-bc9f6d9f,Mission West Lake - Food Pantry,meal,"1439 FM 315 S, Chandler",32.23181915283203,-95.5047836303711,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: wlbcc.com
