id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
hennepin-mn-overture-4ea18754,ICA Food Shelf,meal,"11588 K-Tel Dr, Minnetonka",44.91337203979492,-93.42680358886719,+19529380729,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://bit.ly/m/icafoodshelf
hennepin-mn-overture-66a02713,People Reaching Out to People,meal,"14700 Martin Dr, Eden Prairie",44.863739013671875,-93.46357727050781,+19529379120,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.propfood.org
hennepin-mn-overture-286ce8e8,Westonka Community Food Shelf,meal,"2443 Commerce Blvd, Mound",44.93407440185547,-93.66801452636719,+19524725599,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://westonkacommunityfoodshelf.squarespace.com/
hennepin-mn-overture-c0d146dc,Near Food Shelf,meal,"5209 W Broadway Ave, Crystal",45.048065185546875,-93.35819244384766,+17635332836,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.nearfoodshelf.org
hennepin-mn-overture-3bfe2731,HopeBridge Food Shelf,meal,"4217 Boone Ave N, New Hope",45.03434753417969,-93.39110565185547,+17635363284,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.newhopechurchmn.org/foodshelf
hennepin-mn-overture-9ad991a7,Riverworks Food Shelf,meal,"8230 Cedar St, Rockford",45.089622497558594,-93.73310089111328,17634776098,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: riverworksonline.org
hennepin-mn-overture-722a1465,Glory Her,shelter,"1710 Douglas Dr N SUITE 107, Golden Valley",44.99747085571289,-93.35941314697266,+16125595235,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
hennepin-mn-overture-708e5da6,Step - St. Louis Park Emergency Program - Food Distribution Center,meal,"2239 Edgewood Ave S, St Louis Park",44.9608268737793,-93.36272430419922,9529254899,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: stepslp.org
hennepin-mn-overture-8a1a3ecb,Prop Food Shelf - Food Distribution Center,meal,"14700 Martin Dr, Eden Prairie",44.863895416259766,-93.4637680053711,19529379120,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.propfood.org
hennepin-mn-overture-febb800f,Second Harvest Heartland,meal,"7101 Winnetka Ave N, Brooklyn Park",45.083683013916016,-93.3827133178711,+16514845117,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.2harvest.org/
