id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
hillsborough-fl-overture-54ebd6bc,Firm Foundation Christian Fellowship Church,meal,"11962 Balm Riverview Rd, Riverview",27.801231384277344,-82.28704833984375,8137845973,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://firmfoundationcf.org/
hillsborough-fl-overture-9d14a407,Bread Of Refuge,meal,"521 Wilbur St, Brandon",27.93604278564453,-82.27864074707031,18133402092,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://gradams.50megs.com/breadofrefuge
hillsborough-fl-overture-a5570b66,Bay Chapel Food Pantry,meal,Tampa,28.164670944213867,-82.35441589355469,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
hillsborough-fl-overture-15ce2bfc,Real Hope Ministries - Food Pantry,meal,"2102 Bell Shoals Rd, Brandon",27.912006378173828,-82.2708740234375,18136894229,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: bellshoals.com
hillsborough-fl-overture-bb1aad52,Feed The Bay,meal,"1017 Kingsway Rd, Brandon",27.95541763305664,-82.27555847167969,8136613696,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.feedtheway.org
hillsborough-fl-overture-d16287af,United Food Bank and Services of Plant City,meal,"702 E Alsobrook St, Plant City",28.007686614990234,-82.11901092529297,+18137640625,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://ufbpc.org/wp-content/uploads/2026/02/UFB-Annual-Report-2024-2025-4.pdf
hillsborough-fl-overture-97450e17,San Jose Mission,shelter,"13422 San Diego Ln, Dover",27.99427032470703,-82.23065948486328,+18137077416,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
hillsborough-fl-overture-5b0a1b08,Bay Chapel Food Pantry,meal,"19911 Bruce B Downs Blvd, Tampa",28.154953002929688,-82.3525619506836,+18137314040,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Baychapelfoodpantry.org/
hillsborough-fl-overture-504a44e8,Firm Foundation Christian Fellowship,meal,"12422 Balm Riverview Rd, Riverview",27.77393341064453,-82.31441497802734,8134400333,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://firmfoundationcf.org/
hillsborough-fl-overture-9c686147,Firm Foundation Christian Fellowship,meal,"12422 Balm Riverview Rd, Riverview",27.739931106567383,-82.37010955810547,8134400333,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://firmfoundationcf.org/
hillsborough-fl-overture-51596234,St. Vincent de Paul Food Pantry,meal,"10118 St Stephen Cir, Riverview",27.852441787719727,-82.28408813476562,+18133256440,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://svdpriverviewfl.org/
hillsborough-fl-overture-e268e639,All Rise Foundation,shelter,"8517 Dee Cir, Riverview",27.86722183227539,-82.29840850830078,+18135539602,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Allrisefoundation.net/
hillsborough-fl-overture-8d211a5b,La Carreta Criolla,meal,"3802 Durant Rd, Valrico",27.908559799194336,-82.23558807373047,19145027389,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
hillsborough-fl-overture-96af0d52,United Food Bank & Services,meal,"2001 E Cherry St, Plant City",28.024641036987305,-82.10401916503906,181376406255,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: ufbpc.org
hillsborough-fl-overture-63ac357c,City of Refuge,shelter,"83 7th Ave NE, Ruskin",27.723636627197266,-82.43247985839844,+18138933887,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.yourcityofrefuge.com/
hillsborough-fl-overture-4a79ddd4,Community Cupboard,meal,"1480 E College Ave, Ruskin",27.714496612548828,-82.41667938232422,18136417790,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: www.calvaryalive.org
hillsborough-fl-overture-2797c895,Seeds of Hope,meal,"710 E Bloomingdale Ave, Brandon",27.89455223083496,-82.2726058959961,+18138920631,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://sohopefl.org/donations/
hillsborough-fl-overture-ae9f9a08,Operation Productive Endeavor,meal,"6912 Williams Rd, Seffner",28.014936447143555,-82.32777404785156,18137401868,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.opeinc.org
hillsborough-fl-overture-18a677fe,Idlewild Baptist - Food Pantry,meal,"18333 Exciting Idlewild Blvd, Lutz",28.13346290588379,-82.48849487304688,8132648717,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: idlewild.org
