id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
hillsborough-nh-overture-60a02fa7,Nashua Soup Kitchen and Shelter,shelter,"2 Quincy St, Nashua",42.76076126098633,-71.46163177490234,+16038897770,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.nsks.org/
hillsborough-nh-overture-4430ccad,Peterborough Food Pantry,meal,"52 Concord St, Peterborough",42.88089370727539,-71.94697570800781,+16039243008,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.pfoodpantry.org/
hillsborough-nh-overture-4c35e74d,Southern New Hampshire Rescue Mission,shelter,"40 Chestnut St Apt. 1, Nashua",42.75852966308594,-71.46849060058594,+16038893421,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://hope4nashua.org/
hillsborough-nh-overture-8909f726,Shiloh Food Ministry,meal,"461 Straw Rd, Manchester",43.01721954345703,-71.50108337402344,+16037825015,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
hillsborough-nh-overture-14ce3547,New Hampshire Food Bank,meal,"700 E Industrial Park Dr, Manchester",42.981719970703125,-71.40846252441406,16036699725,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://nhfoodbank.org
hillsborough-nh-overture-13c5a1f7,The Beacon on Brook Street,shelter,"15 Brook St, Manchester",42.99976348876953,-71.46332550048828,+16036983231,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.lightoflifenh.org/
hillsborough-nh-overture-3e40c6f6,Hudson NH Community Food Pantry,meal,"23 Library St, Hudson",42.763710021972656,-71.43802642822266,+16038836048,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.hudsonfoodpantry.org/
hillsborough-nh-overture-20ff39ac,Liberty House NH,shelter,"221 Orange St, Manchester",42.99736785888672,-71.4533920288086,+16036690761,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.libertyhousenh.org/
hillsborough-nh-overture-5ab39abd,Family Promise of Southern New Hampshire,shelter,"3 Crown St Building B, Nashua",42.75977325439453,-71.4518814086914,+16038837338,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.familypromisesnh.org/
hillsborough-nh-overture-43e244b6,Corpus Christi Food Pantry & Assistance,meal,"3 Crown St, Nashua",42.759857177734375,-71.45181274414062,+16038826372,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.corpuschristifoodpantry.org/
hillsborough-nh-overture-c2233e9d,Weare Food Pantry - Food Distribution Center,meal,"33 N Stark Hwy  Unit C, Weare",43.09676742553711,-71.73228454589844,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.weare.nh.gov/fire-department
hillsborough-nh-overture-245aab44,Goffstown Network Food Pantry,meal,"7 N Mast St, Goffstown",43.020713806152344,-71.60099029541016,+16034973433,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://goffstownnetwork.com/
hillsborough-nh-overture-a62ea9ea,Antrim Bennington Food Pantry,meal,"85 Main St, Antrim",43.03184509277344,-71.93843078613281,+16035886614,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.antrimbaptist.org/food-pantry.html
hillsborough-nh-overture-645f2ca7,Angie's Shelter,shelter,"434 Union St, Manchester",42.98896789550781,-71.45762634277344,+16036688698,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://newhorizonsfornh.org
hillsborough-nh-overture-6dc8741b,"Southern NH HIV/AIDS Task Force, A Program of Harbor Care",meal,"77 Northeastern Blvd, Nashua",42.736576080322266,-71.48602294921875,6035958464,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://aidstaskforcenh.org/
hillsborough-nh-overture-59f0be76,Pelham Food Pantry,meal,"12 Main St, Pelham",42.7327880859375,-71.3206787109375,+16036357592,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://stpatricks-pelham.com
hillsborough-nh-overture-bf7f1e8c,Hillsboro District Food Pantry,meal,"7 Church St, Hillsborough",43.11296844482422,-71.89783477783203,+16034644080,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hillsborofoodpantry.wordpress.com/
hillsborough-nh-overture-b0f90396,Bedford NH Community Food Pantry,meal,"4 Church Rd, Bedford",42.94544982910156,-71.51991271972656,+16038671445,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://bedfordnhfoodpantry.org/
hillsborough-nh-overture-a82b63aa,39 Beech Street Engagement Shelter,shelter,"39 Beech St, Manchester",42.97443389892578,-71.45506286621094,+16034131775,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.amazon.com/hz/wishlist/ls/3695WESAH7VLK?ref_=wl_share
hillsborough-nh-overture-10967bc9,New Horizons for New Hampshire,shelter,"199 Manchester St, Manchester",42.98995590209961,-71.45870971679688,(603) 668-1877,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.newhorizonsfornh.org
