id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
ingham-mi-overture-ffe61fe1,City Rescue Mission of Lansing,shelter,"2216 S Cedar St, Lansing",42.708473205566406,-84.54846954345703,+15174850145,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.BEaRESCUER.org/
ingham-mi-overture-e4a5f8c2,Food Pantry First Presbyterian Church Lansing,meal,"510 W Ottawa St, Lansing",42.7351188659668,-84.55928039550781,15175745124,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: lansingfirstpres.com
ingham-mi-overture-5f6d543d,Michigan Food Bank Council,meal,"501 N Walnut St, Lansing",42.738746643066406,-84.55722045898438,+15174851202,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: feedmichigan.org
ingham-mi-overture-81507007,Stockbridge Community Outreach,meal,"305 W Elizabeth St, Stockbridge",42.44940185546875,-84.18292236328125,+15178517285,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.stockbridgecommunityoutreach.org/
ingham-mi-overture-b3786020,Loaves & Fishes Ministries,shelter,"831 N Sycamore St, Lansing",42.7432746887207,-84.56184387207031,+15174822099,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://a.co/0brgOQYx
ingham-mi-overture-71dcc0ee,Raft Hill,shelter,"Raft Hill, 420 Evergreen Ave, East Lansing",42.73753356933594,-84.48477172851562,+15173372977,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://en.wikipedia.org/wiki/index.html?curid=19959672
ingham-mi-overture-1dbe5c5a,Greater Lansing Food Bank,meal,"919 Filley St, Lansing",42.76229476928711,-84.5645523071289,+15178537800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://greaterlansingfoodbank.org
ingham-mi-overture-52f6b86e,Tardis Public Food Pantry,meal,"2019 E Michigan Ave, Lansing",42.73372268676758,-84.5216293334961,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
ingham-mi-overture-797c1a36,Mason Food Bank,meal,"118 W Oak St, Mason",42.5784797668457,-84.44403839111328,15176762563,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://masonfoodbank.com
ingham-mi-overture-6517deae,Homeless Angels,shelter,"3216 W Main St, Lansing",42.721778869628906,-84.59337615966797,15174879119,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.homelessangels.org
ingham-mi-overture-ac5caa9d,Pleasant View Adult Foster Care,shelter,"3016 Risdale Ave, Lansing",42.68976974487305,-84.59169006347656,+15173946748,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://lansingadultfostercare.com/
ingham-mi-overture-6ee36238,Hosanna House Of Michigan,shelter,"2517 E Mount Hope Ave, Lansing",42.7121696472168,-84.51566314697266,15173162113,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
ingham-mi-overture-4bfb1a0c,City Rescue Mission of Lansing,shelter,"607 E Michigan Ave, Lansing",42.733802795410156,-84.5440902709961,5174850145,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bearescuer.com/
ingham-mi-overture-4d73606a,Rivendell Cooperative House,shelter,"731 W Genesee St, Lansing",42.73839569091797,-84.56301879882812,+15174850425,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.spartan.coop/housing/our-houses/rivendell
ingham-mi-overture-c27e55d8,Michigan League For Human Services - Food Distribution Center,meal,"1115 S Pennsylvania Ave, Lansing",42.72175979614258,-84.5372085571289,15174875436,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.michigan.gov
ingham-mi-overture-ee2f268e,MSU Student Food Bank,meal,"463 E Circle Dr Room 151, East Lansing",42.73319625854492,-84.479248046875,+15174325136,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://foodbank.msu.edu/
ingham-mi-overture-9fec037f,Williamston Food Bank,meal,"202 School St, Williamston",42.68605041503906,-84.2840576171875,+15179962246,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.williamstonfoodbank.org/donate.html
ingham-mi-overture-0ca213ba,Haven House,shelter,"121 Whitehills Dr, East Lansing",42.74549102783203,-84.48323822021484,+15173372731,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.havenhouseel.org/
ingham-mi-overture-95d228ad,UM Health-Sparrow Lab at Ingham County Health Center,meal,"5303 S Cedar St, Lansing",42.68087387084961,-84.5445327758789,5173719500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.uofmhealthsparrow.org/departments-conditions/all-departments/laboratories
