id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
jackson-mi-overture-eca00c72,Jackson Interfaith Shelter,shelter,"414 S Blackstone St, Jackson",42.24393081665039,-84.41194152832031,+15177898735,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.interfaithshelter.com/
jackson-mi-overture-754bb811,Ffi-first Church Of The Nazarene In Jackson - Food Distribution Center,meal,"3905 Clinton Rd, Jackson",42.30055618286133,-84.43510437011719,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://jaxnazchurch.com
jackson-mi-overture-e274d19e,Aware Shelter,shelter,"706 W Michigan Ave, Jackson",42.2476921081543,-84.41917419433594,+15177832861,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.awareshelter.org/
jackson-mi-overture-db41cd4e,The Salvation Army,meal,"806 E Pearl St, Jackson",42.24995422363281,-84.39695739746094,5177827185,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://sajackson.org/
jackson-mi-overture-9619ead4,Jackson Community Food Pantry,meal,"701 Greenwood Ave, Jackson",42.242008209228516,-84.40929412841797,+15172061480,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.jcfoods.org/
jackson-mi-overture-c6bcb1a7,Grace Haven Center,shelter,"1040 Martin Luther King Jr Dr, Jackson",42.23597717285156,-84.40393829345703,+15173431169,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.gracehavencenter.com/
jackson-mi-overture-fd021a4e,Jackson Michigan Giving Back to the Community,meal,"1003 Clinton Rd, Jackson",42.26079177856445,-84.41778564453125,+15173954799,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://jacksonmichigangivingback.org/
jackson-mi-overture-6d340975,Reed Manor,shelter,"301 Steward Ave Suite C, Jackson",42.24858856201172,-84.4150619506836,+15177871188,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://jacksonhousing-mi.org
jackson-mi-overture-3b98490f,Saint John's United Church Of Christ - Food Pantry,meal,"801 S Mechanic St, Jackson",42.240787506103516,-84.40534210205078,15177847580,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://stjohnsjx.com
jackson-mi-overture-1838092c,Brooklyn Food Pantry,meal,"171 Wamplers Lake Rd, Brooklyn",42.09684753417969,-84.2444839477539,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
jackson-mi-overture-5fe65450,Rives Pantry,meal,"2800 W Berry Rd, Rives Junction",42.37957000732422,-84.43973541259766,+15178672685,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.riveschurch.org/rives-pantry/
jackson-mi-overture-cfeb2548,North Parma United Methodist Church Food Pantry,meal,"11970 Devereaux Rd, Parma",42.31341552734375,-84.61945343017578,+15175314054,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
