id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
jackson-or-overture-1c35883d,Scenic Heights,shelter,"1847 Scenic Ave, Central Point",42.38673400878906,-122.9207763671875,+15416641939,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hajc.net/page.asp?NavID=30
jackson-or-overture-c39f794f,Gleaners of Southern Oregon,meal,"201 Bateman Dr, Central Point",42.395748138427734,-122.88245391845703,+15416651500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thegleaningnetwork.org/
jackson-or-overture-8ec44cb0,Talent Food Pantry,meal,"104 E Main St, Talent",42.24460220336914,-122.78968048095703,5414144570,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.facebook.com/talentfoodpantry
jackson-or-overture-046d8833,Medford Gospel Mission,shelter,"125 W Jackson St, Medford",42.33056640625,-122.88002014160156,+15417791597,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://medfordgospelmission.org/
jackson-or-overture-129c58ad,God's Food Pantry,meal,"1032 W Main St, Medford",42.32378387451172,-122.88327026367188,+15417734004,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.setfreemedford.com/
jackson-or-overture-98a907d0,Talent Food Pantry,meal,"104 E Main St, Talent",42.24485397338867,-122.78974151611328,+15414144570,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
jackson-or-overture-98dcc7c0,Ashland Community Food Bank,meal,"560 Clover Ln, Ashland",42.18364334106445,-122.6632308959961,+15414889544,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://ashlandcfb.org/
jackson-or-overture-c94f2703,Ashland Food Project,meal,"2305 Ashland St #104-447, Ashland",42.18564224243164,-122.67105865478516,+15412059194,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.ashlandfoodproject.com/
jackson-or-overture-eb35bdf2,Rogue Retreat,shelter,"711 E Main St Suite 25, Medford",42.328163146972656,-122.8657455444336,+15414990880,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.rogueretreat.org/
jackson-or-overture-49b5b003,Uncle Foods Diner,meal,"543 S Mountain Ave, Ashland",42.18519973754883,-122.69947814941406,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://peacehouse.net/uncle-foods-diner/
