id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
jefferson-al-overture-c332267f,The Way Station,shelter,"650 3rd Ave N, Birmingham",33.5079345703125,-86.82518768310547,+12053249822,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.aidsalabama.org/thewaystation
jefferson-al-overture-5b259187,"J&D Opportunities, INC",shelter,"1828 Princeton Ct SW, Birmingham",33.48777389526367,-86.86707305908203,+12053686866,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.jdopportunities.com/
jefferson-al-overture-43097776,Brother Bryan Mission,shelter,"1616 2nd Ave N, Birmingham",33.51336669921875,-86.81135559082031,+12053220092,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.bbmission.com/donate
jefferson-al-overture-e23ef767,Community Food Bank of Central Alabama,meal,"4336 Turin Dr, Bessemer",33.39126968383789,-86.93028259277344,+12059428911,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.feedingAL.org/
jefferson-al-overture-2595923d,Jesus Pantry,meal,"1343 Hueytown Rd, Hueytown",33.44493865966797,-86.99606323242188,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
jefferson-al-overture-a48f490e,Blazer Kitchen,meal,"1613 11th Ave S, Birmingham",33.49787139892578,-86.80162048339844,+12059962040,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://forms.office.com/r/An1C8Tm3RH
jefferson-al-overture-ccf6971b,Grace's Kitchen,meal,"3600 3rd Ave S, Birmingham",33.52091979980469,-86.78025817871094,+12059024802,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.graceskitchen.org/
jefferson-al-overture-e0d5a3c1,Disabled American Veterans - DAV - Food Distribution Center,shelter,"238 2nd Ave N, Birmingham",33.50456619262695,-86.83042907714844,+12053441629,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.dav.org
jefferson-al-overture-41a4bf8b,The Grace Place,meal,"1630 Powder Plant Rd, Bessemer",33.34968566894531,-87.01545715332031,+12055195402,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.thegraceplaceonline.com/
jefferson-al-overture-cec76988,Firehouse Ministries,shelter,"626 2nd Ave N, Birmingham",33.506736755371094,-86.82485961914062,+12052529571,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://Firehouseshelter.com/
