id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
kanawha-wv-overture-d2d22095,Samaritan Inn,shelter,"1117 Quarrier St, Charleston",38.34657287597656,-81.6310043334961,+13046108730,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://wvsi.org/
kanawha-wv-overture-13b2b84e,Kanawha Charleston Housing Authority,shelter,"300 Glade Ave, Charleston",38.28678894042969,-81.56485748291016,+13049257940,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.charlestonhousing.com
kanawha-wv-overture-c6fb1a0b,Kanawha Charleston Housing,shelter,"122 Marshall Ave, Dunbar",38.37244415283203,-81.7587661743164,+13047682166,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.charlestonhousing.com
kanawha-wv-overture-6d93a13a,Catholic Charities Food Pantry,meal,"1116 Kanawha Blvd E, Charleston",38.34531784057617,-81.63317108154297,+13043452103,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.catholiccharitiesusa.org/
kanawha-wv-overture-fec40fc3,Roark Sullivan Lifeway Center,shelter,"505 Leon Sullivan Way, Charleston",38.351234436035156,-81.62757873535156,13043403581,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.roarksullivan.com
kanawha-wv-overture-01dc239f,Bread of Life Food Pantry,meal,"102 Nazarene Dr, South Charleston",38.32365798950195,-81.7198486328125,+13047440863,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.daviscreek.org/outreach-ministries/
kanawha-wv-overture-e17e306d,Jericho House,shelter,"401 4th Ave  # 2823, Saint Albans",38.38751220703125,-81.83297729492188,13047270179,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
kanawha-wv-overture-766d698d,Charleston Medical Center Housing Corporation,shelter,"110 29th St SE, Charleston",38.331336975097656,-81.60834503173828,+13043450171,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wvcbc.com
kanawha-wv-overture-eb04c583,Twin Cities Center,shelter,"100 MacCorkle Ave, St Albans",38.39065170288086,-81.83686828613281,+13047276179,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.homelessshelterdirectory.org/shelter/wv_roark-sullivan-lifeway-center-twin-cities-center
kanawha-wv-overture-fccc51a1,Davis Child Shelter,shelter,"1145 Greenbrier St, Charleston",38.358585357666016,-81.59523010253906,+13043453891,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://childhswv.org
kanawha-wv-overture-d0aa456d,Covenant House,shelter,"600 Shrewsbury St, Charleston",38.35165023803711,-81.62830352783203,+13043440530,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wvcovenanthouse.org/
