id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
kane-il-overture-34c3c421,Vineyard Aurora Food Pantry,meal,"505 E Galena Blvd, Aurora",41.75400161743164,-88.30760955810547,18157822310,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vineyardaurora.org
kane-il-overture-045dadd9,Northern Illinois Food Bank,meal,"273 Dearborn Court, Geneva",41.88741683959961,-88.26752471923828,+16304436910,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/northernilfoodbank
kane-il-overture-e172f16e,Food For Greater Elgin,meal,"1553 Commerce Dr, Elgin",42.07255935668945,-88.29483032226562,+18479319330,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodforgreaterelgin.org/
kane-il-overture-b8fa51ce,Lazarus House,shelter,"214 Walnut St, St Charles",41.91270065307617,-88.31635284423828,+16305872144,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.lazarushouse.net/
kane-il-overture-5316022d,Open Hands Food Pantry,meal,"17N230 Manning Rd, Huntley",42.112022399902344,-88.43380737304688,18479616974,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://churchontherock.info
kane-il-overture-66964369,First Congregational United Church Of Christ Soup Kettle - Soup Kitchen - Food Pantry,meal,"256 E Chicago St, Elgin",42.03754425048828,-88.28060913085938,18477412329,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.fcc-elgin.org
kane-il-overture-f8045f59,Aurora Area Interfaith Food Pantry,meal,"1110 Jericho Rd, Aurora",41.74486541748047,-88.3425064086914,+16308972127,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.aurorafoodpantry.org/
kane-il-overture-cd944e32,Between Friends Food Pantry of Sugar Grove,meal,"143 Main St, Sugar Grove",41.76008605957031,-88.44442749023438,+16309994000,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sugargrovefoodpantry.org/
kane-il-overture-70f9b562,Marie Wilkinson Food Pantry,meal,"834 N Highland Ave, Aurora",41.773704528808594,-88.32962799072266,+16308975431,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://mariewilkinsonfoodpantry.org/donate/
kane-il-overture-d7c2b02a,Elgin Wayside Center,shelter,"453 Fremont St, Elgin",42.04491424560547,-88.27326202392578,8476954405,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.waysidecross.org/elgin-wayside-center-ministry/
kane-il-overture-e84d28f2,Pads-Am,shelter,"659 S River St, Aurora",41.74655532836914,-88.33061218261719,+16308010114,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://hesedhouse.org
kane-il-overture-976eaf50,Feeding Illinois,meal,"273 Dearborn Court, Geneva",41.88724136352539,-88.26757049560547,+16307688068,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.feedingillinois.org/capacitygrant
kane-il-overture-f334e0e1,Holy Angels Food Pantry,meal,"204 S Russell Ave, Aurora",41.75693893432617,-88.33411407470703,+16308972478,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.holy-angels.org
kane-il-overture-479ba16f,Batavia Interfaith Food Pantry & Clothes Closet,meal,"916 1st St, Batavia",41.84779739379883,-88.32264709472656,+16308793784,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://bataviafoodpantry.org/
kane-il-overture-bf69581d,Fish Food Pantry,meal,"150 S Kennedy Dr Ste 8b, Carpentersville",42.11553192138672,-88.26030731201172,+18474284357,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fish-food-pantry.org/
kane-il-overture-314141a3,Hesed House,shelter,"659 S River St, Aurora",41.74658203125,-88.3306655883789,+16308972156,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://onecau.se/derbyparty26
kane-il-overture-036cc0f4,Generosity,meal,"2631 Williamsburg Ave  Ste 301b, Geneva",41.89073181152344,-88.34501647949219,6302322025,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://generosityworldwide.com
kane-il-overture-2715b546,Pads Of Elgin Inc,shelter,"1730 Berkley St, Elgin",42.02278137207031,-88.31878662109375,+18476089744,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://linktr.ee/padsofelgin
kane-il-overture-cea895b9,Batavia Interfaith Food Pantry & Clothes Closet,meal,"431 N Raddant Rd, Batavia",41.855525970458984,-88.2930908203125,16308793784,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://bataviafoodpantry.org
kane-il-overture-b6e0526f,Burlington Hampshire Area Food Pantry,meal,"220 Keyes Ave, Hampshire",42.100337982177734,-88.52839660644531,+18476833071,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.burlingtonhampshireareafoodpantry.org/
kane-il-overture-027c0062,Highpoint Cares Center North Aurora - Food Pantry,shelter,"2301 Tanner Rd, North Aurora",41.810550689697266,-88.38042449951172,+16302814800,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
kane-il-overture-ccf6db8f,Elgin Wayside Center,shelter,"1732 Berkley St, Elgin",42.02310562133789,-88.31890869140625,+18476954405,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.waysidecross.org/homeless-shelter/
