id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
kennebec-me-overture-34a6be51,Chrysalis Place Food Bank,meal,"576 Brunswick Ave, Gardiner",44.20212173461914,-69.79613494873047,+12075825507,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.Gardinerfoodbank.com/
kennebec-me-overture-b1056d51,Faith Food Pantry,meal,"280 Brunswick Ave, Gardiner",44.21829605102539,-69.77959442138672,12072030002,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
kennebec-me-overture-abf18fff,Chelsea Food Bank,meal,"230 Togus Rd, Chelsea",44.24934387207031,-69.7188949584961,+12073508170,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
kennebec-me-overture-8b2ae5ed,Augusta Overnight Emergency Warming Center,shelter,"34 Bridge St, Augusta",44.31719970703125,-69.7757797241211,+12072136637,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://southparishchurch.com/overnight-warming-center-1
kennebec-me-overture-f3d1370b,Litchfield Food Bank,meal,"56 Plains Rd, Litchfield",44.15287780761719,-69.93970489501953,+12075572680,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
kennebec-me-overture-88e0dd4a,Augusta Food Bank,meal,"161 Mt Vernon Ave, Augusta",44.32957077026367,-69.78337860107422,+12076225225,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.augustafoodbank.org/
kennebec-me-overture-e38e287b,Belgrade/Rome Special Needs Food Pantry,meal,"508 Smithfield Rd, Belgrade",44.53504180908203,-69.79202270507812,+12074952022,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
kennebec-me-overture-d1df18e7,Mid-Maine Homeless Shelter,shelter,"19 Colby St, Waterville",44.558990478515625,-69.62702178955078,+12078728082,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.shelterme.org
kennebec-me-overture-776a8806,Vassalboro Food Station Pantry,meal,"679 Main St, Vassalboro",44.470027923583984,-69.61454010009766,+12078737375,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://vassalboro.net/pages/vassalboro-food-station
kennebec-me-overture-2c95fb0b,Winthrop Food Pantry,meal,"10 Cross Rd, Winthrop",44.28458786010742,-70.00067901611328,+12073773332,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.winthropfoodpantry.org/
kennebec-me-overture-7fb34e93,Fairfield Interfaith Food Pantry,meal,"23 Lawrence Ave, Fairfield",44.58742904663086,-69.59619140625,+12075099972,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fairfieldinterfaithfp.org/
kennebec-me-overture-9f4b6048,Mount Vernon Food Bank,meal,"First Baptist Church of Mt Vernon, 321 Pond Rd, Mt Vernon",44.50326919555664,-69.98843383789062,+12072932141,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.usda.gov/sites/default/files/documents/ad-3027.pdf
kennebec-me-overture-f574f4a4,Oakland Food Pantry,meal,"20 W School St, Oakland",44.54505157470703,-69.71895599365234,+12075146924,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
