id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
king-wa-overture-38f32ecb,Federal Way Food Bank,meal,"1200 South 336th St, Federal Way",47.30141830444336,-122.31803131103516,+12538386810,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
king-wa-overture-97d63acc,Federal Way Day Center,shelter,"33505 13th Pl S, Federal Way",47.301368713378906,-122.31725311279297,+12538937895,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://secure2.convio.net/ccsww/site/Donation2?df_id=6261&mfc_pref=T&6261.donation=form1
king-wa-overture-8cb92d19,King County Housing Authority Wayland Arms Apts,shelter,"307 S Division St, Auburn",47.304443359375,-122.2301025390625,+12533330262,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
king-wa-overture-019f5f72,Hopelink,meal,"17837 Aurora Ave N, Shoreline",47.75883865356445,-122.34609985351562,2064407300,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.hopelink.org/shoreline
king-wa-overture-3e62fc5c,King County Housing Authority - Central Applications Center,shelter,"20126 Ballinger Way NE, Shoreline",47.775779724121094,-122.31027221679688,+12065741248,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://kcha.org
king-wa-overture-aba8dfa7,Margie Williams Helping Hands Resource Center,shelter,"973 Chelan Ave NE, Renton",47.498817443847656,-122.15802764892578,+14252551446,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.mwhh.org/
king-wa-overture-d0cf167c,Sophia's Place,shelter,"3032 Bellevue Way NE, Bellevue",47.63846969604492,-122.20111083984375,+14258967385,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sophiaway.org/
king-wa-overture-eae3bab6,Woodinville Storehouse,meal,"17110 140th Ave NE, Woodinville",47.75212097167969,-122.15229034423828,+14253849274,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.woodinvillestorehouse.org/
king-wa-overture-a75abaa0,Little Free Pantry North City,meal,"1674 NE 185th St, Shoreline",47.76321792602539,-122.30923461914062,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.littlefreepantry.org/
king-wa-overture-01694c58,Helping Hands Food And Clothing Bank,meal,"10830 Se Kent Kangley Rd Ste 101, Kent",47.37066650390625,-122.19649505615234,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
king-wa-overture-d30d9e6d,Glorious Morning Glory,meal,"15600 NE 8th St, Bellevue",47.61941146850586,-122.1303482055664,2067340514,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
