id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
kitsap-wa-overture-cda039a7,South Kitsap Helpline,meal,"1012 Mitchell Ave, Port Orchard",47.53375244140625,-122.62664031982422,13608764089,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://skhelpline.org
kitsap-wa-overture-37146358,Kitsap Homes of Compassion,shelter,"247 4th St, Bremerton",47.56568145751953,-122.6255111694336,+13602450385,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://KitsapHOC.org/
kitsap-wa-overture-77b14a2e,Fishline Food Bank and Comprehensive Services,meal,"19705 Viking Ave NW, Poulsbo",47.741905212402344,-122.6581039428711,+13607795190,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fishlinehelps.org/
kitsap-wa-overture-5fbbba56,Bremerton Foodline,meal,"1600 12th St, Bremerton",47.57207107543945,-122.64019775390625,+13604796188,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://bremertonfoodline.org/
kitsap-wa-overture-0ee1882d,Seashare,meal,"600 Ericksen Ave NE #310, Bainbridge Island",47.629356384277344,-122.51664733886719,+12068423609,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.zeffy.com/en-US/donation-form/seafood-for-world-hunger-day-may-28--2026
kitsap-wa-overture-d1f79b91,Fallen Tree Farm,meal,"4869 Brasch Rd SE, Port Orchard",47.50423049926758,-122.61487579345703,+13608011384,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
kitsap-wa-overture-558c7b4b,Saint Vincent de Paul - Food Distribution Center,shelter,"1137 N Callow Ave, Bremerton",47.57249069213867,-122.65315246582031,+13604797017,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
kitsap-wa-overture-6a4c5290,Georgia's House,shelter,"4846 Auto Center Way, Bremerton",47.56301498413086,-122.6785888671875,+13604799020,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.gmweaverfoundation.org/
kitsap-wa-overture-2e24272f,South Kitsap Helpline,meal,"4215 SE Mile Hill Dr, Port Orchard",47.534358978271484,-122.59672546386719,+13608764089,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.skhelpline.org/
kitsap-wa-overture-6cce812f,Benedict House,shelter,"250 S Cambrian Ave, Bremerton",47.560279846191406,-122.65535736083984,+13603776136,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://ccsww.org/services/benedict-house/
kitsap-wa-overture-ed2853e4,New Day Ministry,meal,"616 Pacific Ave, Bremerton",47.56792449951172,-122.62660217285156,3603730184,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.newdayministrywa.org/
kitsap-wa-overture-a78cb0f6,ShareNet Food Bank,meal,"25994 Barber Cut Off Rd NE, Kingston",47.800113677978516,-122.50884246826172,+13602972266,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.sharenetfoodbank.org/
kitsap-wa-overture-5f4170a3,Central Kitsap Food Bank,meal,"3537 NW Anderson Hill Rd, Silverdale",47.649139404296875,-122.69896697998047,+13606929818,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://ckfoodbank.org/
