id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
lake-il-overture-ee9e966b,Abiding Love Ministries Food Pantry,meal,"2929 Bethel Blvd, Zion",42.441558837890625,-87.83277130126953,+18478723541,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://christianassemblyzion.org/
lake-il-overture-b6faacf4,Pads Lake County,shelter,"1800 Grand Ave, Waukegan",42.370601654052734,-87.85400390625,18476894357,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.padslakecounty.org
lake-il-overture-b3cc83f8,Wauconda Island Lake Food Pantry,meal,"505 W Bonner Rd, Wauconda",42.277854919433594,-88.15287780761719,+18475268684,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.wilfp.org/
lake-il-overture-58553bd5,Libertyville Township Food Pantry,meal,"359 Merrill Ct, Libertyville",42.293453216552734,-87.96041870117188,18478165989,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://libertyvilletownship.us
lake-il-overture-67786bb2,One Deerfield Place,shelter,"733 Osterman Ave, Deerfield",42.16413879394531,-87.84626007080078,+18479453661,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
lake-il-overture-cc3d3e11,El Puente Latino,meal,"2415 N Butrick St, Waukegan",42.39609909057617,-87.84732055664062,18475993051,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
lake-il-overture-0c9c615f,Fremont Township Food Pantry,meal,"22385 IL-60, Mundelein",42.297245025634766,-88.07038879394531,+18472232847,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fremonttownship.com/
lake-il-overture-a070d4ca,Rahmah Interfaith Food Pantry,meal,"134 Monaville Rd, Lake Villa",42.398902893066406,-88.085205078125,+17735014479,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://masjidrahmah.us/programs/food-pantry
lake-il-overture-dc4191fa,The Giving Point Food Pantry,meal,"900 Lewis Ave, Winthrop Harbor",42.477394104003906,-87.85555267333984,+18477465524,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://thegivingpoint.org/
lake-il-overture-0dfbe9e5,Staben House,shelter,"3000 Grand Ave, Waukegan",42.371707916259766,-87.87469482421875,+18472449944,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.waukegantownship.com/
lake-il-overture-70dbb3cf,Emmaus House of Hospitality,shelter,"135 S Buesching Rd, Lake Zurich",42.195919036865234,-88.08318328857422,+18478140212,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.emmaus-house.org/
lake-il-overture-2b920208,Warren Township Food Pantry,meal,"17801 W Washington St, Gurnee",42.3634033203125,-87.98016357421875,18472441101101,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.warrentownship.net/departments/wsra-2
lake-il-overture-6a4b3060,Cool Food Pantry,meal,"800 W Glen Flora Ave, Waukegan",42.37776565551758,-87.84081268310547,+18476621230,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.coolministries.org
lake-il-overture-43ca9d6c,PADS Lake County,shelter,"1800 Grand Ave, Waukegan",42.370479583740234,-87.85389709472656,+18476894357,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.padslakecounty.org/
