id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
lake-in-overture-d46942ca,Food Bank of Northwest Indiana,meal,"6490 Broadway, Merrillville",41.50156021118164,-87.33702850341797,+12199801777,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.foodbanknwi.org/
lake-in-overture-ecb73e2b,Community Help Network,meal,"550 E Burrell Dr, Crown Point",41.391212463378906,-87.36123657226562,+12198053717,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.tiktok.com/@communityhelpnetwork?_r=1&_t=ZP-95az12Q6wwx
lake-in-overture-64e11d94,Hobart Food Pantry,meal,"200 S Hobart Rd, Hobart",41.533878326416016,-87.24195861816406,+12199477779,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.hobartfoodpantry.org
lake-in-overture-a4e024e5,Brother's Keeper,shelter,"2120 Broadway, Gary",41.57993698120117,-87.33702087402344,+12198824459,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.brotherskeeperinc.org/
lake-in-overture-72c2d4d9,Rainbow-Ark Shelter,shelter,"455 Massachusetts, Gary",41.60279846191406,-87.33597564697266,2198861600,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
lake-in-overture-1ba6d206,Project Love Food Pantry,meal,"7124 W 137th Pl, Cedar Lake",41.36921310424805,-87.42133331298828,+12193747312,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://cedarlakeinumc.org/
lake-in-overture-83e547e7,Operation Care,meal,"340 45th St, Munster",41.542015075683594,-87.5190658569336,+12199226500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fcc4me.com/
lake-in-overture-d56658d7,Hammond City Rescue Mission,shelter,"527 State St #1533, Hammond",41.61836242675781,-87.51578521728516,+12199325085,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.cityrescue.org
lake-in-overture-3b9d243f,St Jude House,shelter,"12490 Marshall St, Crown Point",41.39164733886719,-87.3697280883789,+12196627066,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.stjudehouse.org/donate
lake-in-overture-0db84166,Operation Care,meal,"1950 N Griffith Blvd  Ste E, Griffith",41.557376861572266,-87.42951202392578,12199226500,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: familychristiancenter.org
