id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
lancaster-pa-overture-9012ed6b,Power Packs Project,meal,"1915 Olde Homestead Ln Ste 102, Lancaster",40.05217361450195,-76.2421875,+17175179220,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.extragive.org/organizations/power-packs-project
lancaster-pa-overture-68861084,Milagro House,shelter,"669 W Chestnut St, Lancaster",40.0398063659668,-76.3205795288086,+17175091401,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.milagrohouse.org/
lancaster-pa-overture-f01051c4,Campus Cupboard,meal,"121 N George St, Millersville",39.99998474121094,-76.35536193847656,+17178726840,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://campuscupboard.org/
lancaster-pa-overture-963f71ae,Manheim Community Life Group,shelter,"44 W Ferdinand St, Manheim",40.16114044189453,-76.3943862915039,17178795105,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.manheimcommunitylifegroup.org
lancaster-pa-overture-4e58d996,Lancaster County Homelessness Coalition,shelter,"28 Penn Sq  Ste 100, Lancaster",39.97019577026367,-76.2801513671875,17173940793,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: lchra.com
lancaster-pa-overture-f11550a2,Clare House,shelter,"344 E Chestnut St, Lancaster",40.041805267333984,-76.29835510253906,+17172918967,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.clarehouselancaster.org/
lancaster-pa-overture-decfa3bc,Hempfield Area Food Pantry,meal,"85 E Brandt Blvd, Landisville",40.097618103027344,-76.41998291015625,+17178982954,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://zionhempfield.net/
lancaster-pa-overture-c0991c8f,Columbia Food Bank,meal,"340 Locust St, Columbia",40.03230285644531,-76.50160217285156,+17174495101,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.columbiafoodbank.org/
lancaster-pa-overture-ddf93fd9,Transitional Living Center,shelter,"105 E King St, Lancaster",40.03837203979492,-76.30333709716797,+17173970156,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.tlclancaster.org
lancaster-pa-overture-bec8dc67,Lancaster County Food Hub,meal,"812 N Queen St, Lancaster",40.05016326904297,-76.30838775634766,+17172912261,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.lancasterfoodhub.org/
lancaster-pa-overture-cdcac62a,Community Cupboard of Elizabethtown,meal,"61 E Washington St, Elizabethtown",40.149776458740234,-76.60289001464844,+17173618149,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://communityplaceetown.org/
lancaster-pa-overture-bbcc7b81,Glass House Inc,shelter,"913 E King St, Lancaster",40.04011535644531,-76.28653717041016,+17173900438,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://glasshouseinc.org/
lancaster-pa-overture-5647a34a,Power Packs Project Warehouse,meal,"708 E Walnut St, Lancaster",40.0440673828125,-76.29125213623047,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://overturemaps.org/
lancaster-pa-overture-25ef2df4,Twin Valley Food Pantry,meal,"2779 Main St, Morgantown",40.15154266357422,-75.90609741210938,+16102869124,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://twinvalleyfoodpantry.com/
