id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
larimer-co-overture-395adb5d,Family Promise Of Larimer County Hns,shelter,"1511 E 11th St  Ste 200, Loveland",40.40331268310547,-105.05665588378906,19706631716,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://honservice.org
larimer-co-overture-42182e70,Fort Collins Rescue Mission,shelter,"316 Jefferson St, Fort Collins",40.58907699584961,-105.07373809814453,+19702244302,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.fortcollinsrescuemission.org/
larimer-co-overture-0ec63c3c,Vindeket Foods,meal,"400 Delozier Dr, Fort Collins",40.58252716064453,-105.02037811279297,+19706824631,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://www.vindeketfoods.org/
larimer-co-overture-31d7fd1d,Community Kitchen,meal,"427 N Garfield Ave, Loveland",40.396183013916016,-105.0782699584961,+19702781726,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.coloradogives.org/story/Av69kf
larimer-co-overture-c2b4f65d,Food Bank for Larimer County Administrative Office,meal,"5706 Wright Dr, Loveland",40.450740814208984,-104.99833679199219,+19704934477,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: http://foodbanklarimer.org/
larimer-co-overture-42806426,Gary Bamford Pack Pantry,meal,"6055 Travers Stakes Way, Loveland",40.46220779418945,-104.98492431640625,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://bam.psdschools.org/node/1278
larimer-co-overture-2a8fb33e,Rams against hunger,meal,"1251 S Mason St, Fort Collins",40.57179260253906,-105.07923126220703,+19702197165,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://lsc.colostate.edu/slice/slice-engagement/rams-against-hunger/
larimer-co-overture-3bf19757,Food Bank for Larimer County,meal,"2600 N Lincoln Ave, Loveland",40.419395446777344,-105.07123565673828,+19704934477,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://foodbanklarimer.org
larimer-co-overture-5cb87f79,Food Bank For Larimer County,meal,"1301 Blue Spruce Dr, Fort Collins",40.604591369628906,-105.07264709472656,19704934477,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://www.foodbanklarimer.org
larimer-co-overture-70fcbd92,The Street Dog Coalition,shelter,"305 W Magnolia St  # 277, Fort Collins",40.582252502441406,-105.08126831054688,,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: thestreetdogcoalition.org
larimer-co-overture-365d74df,137 Homeless Connection,shelter,"137 S Lincoln Ave, Loveland",40.3919563293457,-105.07349395751953,9706854173,,,,,,,,,,,,,,,,,,2026-09-03,,website,ok,Source: https://honservice.org
